date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-04,,,,,,,,,49,26,65,49,26,65,49,26,65,2.27470744021,1.8,2.6
2020-03-05,,,,,,,,,49,26,65,98,52,130,98,52,130,2.24819038897,1.77136271999,2.59518242305
2020-03-06,,,,,,,,,49,26,65,148,78,195,148,78,195,2.24175722997,1.76436364214,2.5935609117
2020-03-07,,,,,,,,,49,26,65,197,104,260,197,104,260,2.23379848914,1.7556395356,2.59139648931
2020-03-08,,,,,,,,,49,26,65,246,130,325,246,130,325,2.22398172523,1.74496127563,2.58850963162
2020-03-09,,,,,,,,,49,26,65,295,156,390,295,156,390,2.2119200849,1.73033228946,2.58466321167
2020-03-10,,,,,,,,,49,26,65,344,182,455,344,182,455,2.19717341693,1.71458196658,2.57954538641
2020-03-11,,,,,,,,,49,26,65,393,208,520,393,208,520,2.17925548345,1.69135223701,2.57274846463
2020-03-12,,,,,,,,,49,26,65,443,234,585,443,234,585,2.15764971899,1.66624188058,2.56392579991
2020-03-13,,,,,,,,,153,82,213,596,316,798,596,316,798,2.13162016699,1.6390641609,2.55230792807
2020-03-14,,,,,,,,,151,80,210,747,397,1008,747,397,1008,2.10108771709,1.610021579,2.53815356741
2020-03-15,,,,,,,,,160,86,224,907,483,1232,907,483,1232,2.06540037242,1.5710932994,2.51989578211
2020-03-16,,,,,,,,,178,96,253,1085,579,1485,1085,579,1485,2.02434634176,1.53175109538,2.49650092613
2020-03-17,,,,,,,,,216,116,316,1301,696,1800,1301,696,1800,1.97783314732,1.49508869126,2.46766865154
2020-03-18,,,,,,,,,275,146,412,1576,843,2211,1576,843,2211,1.92599268546,1.44318688534,2.42816571889
2020-03-19,,,,,,,,,316,165,485,1842,982,2631,1892,1008,2696,1.86919835309,1.39109296981,2.37914406897
2020-03-20,,,,,,,,,348,181,546,2142,1137,3111,2240,1189,3241,1.80807438359,1.33514258544,2.32152518545
2020-03-21,,,,,,,,,386,193,625,2479,1305,3671,2627,1383,3866,1.7434978414,1.2885935844,2.25704930036
2020-03-22,,,,,,,,,430,207,718,2860,1487,4323,3057,1591,4583,1.67654409862,1.24329535417,2.18887528584
2020-03-23,,,,,,,,,481,227,819,3292,1688,5077,3538,1818,5402,1.60844001779,1.20343139914,2.11339904304
2020-03-24,,,,,,,,,528,244,908,3771,1907,5919,4066,2063,6309,1.54051043578,1.15812519005,2.03310649342
2020-03-25,,,,,,,,,567,256,999,4289,2137,6853,4633,2319,7308,1.47410254764,1.12533819678,1.93907308344
2020-03-26,,,,,,,,,604,267,1083,4844,2378,7871,5237,2586,8391,1.41050396806,1.09619440708,1.83401225624
2020-03-27,,,,,,,,,639,275,1155,5434,2628,8960,5876,2862,9545,1.35084646002,1.07456678185,1.72242656125
2020-03-28,2,2,,,,,,,673,285,1240,5954,2832,9987,6549,3148,10784,1.2960225865,1.05414850877,1.62210154223
2020-03-29,0,2,,,,,,,703,296,1307,6506,3048,11083,7253,3445,12091,1.24663043539,1.03540421658,1.52533706227
2020-03-30,0,2,,,,,,,729,305,1363,7074,3266,12222,7981,3750,13453,1.20295489509,1.01484888915,1.43551245011
2020-03-31,1,3,,,,,,,750,313,1409,7646,3483,13378,8731,4063,14862,1.16498840075,0.99967250497,1.3657035411
2020-04-01,1,4,,,,,,,768,319,1437,8197,3687,14500,9498,4383,16299,1.13248159899,0.984233152081,1.30708048228
2020-04-02,1,5,,,,,,,783,327,1453,8706,3867,15541,10282,4711,17752,1.1050110346,0.974465411389,1.25591853943
2020-04-03,1,6,,,,,,,797,335,1465,9187,4038,16521,11079,5046,19216,1.08204961312,0.958184661342,1.21387921748
2020-04-04,0,6,,,,,,,809,343,1487,9647,4199,17462,11888,5389,20702,1.06302808147,0.94518742023,1.18039483024
