date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,2,2,,,,,,
2020-03-21,0,2,,,,,,
2020-03-22,0,2,,,,,,
2020-03-23,3,5,,,,,,
2020-03-24,2,7,,,,,,
2020-03-25,1,8,,,,,,
2020-03-26,1,9,,,,,,
2020-03-27,1,10,,,,,,
2020-03-28,2,12,,,,,,
2020-03-29,0,12,,,,,,
2020-03-30,0,12,,,,,,
2020-03-31,1,13,,,,,,
2020-04-01,3,16,,,,,,
2020-04-02,1,17,,,,,,
2020-04-03,0,17,,,,,,
2020-04-04,3,20,,,,,,
2020-04-05,2,22,,,,,,
2020-04-06,1,23,,,,,,
2020-04-07,0,23,,,,,,
2020-04-08,0,23,,,,,,
2020-04-09,0,23,,,,,,
2020-04-10,1,24,,,,,,
2020-04-11,1,25,,,,,,
2020-04-12,2,27,,,,,,
2020-04-13,1,28,,,,,,
2020-04-14,,,1,1,2,29,29,30
2020-04-15,,,1,1,3,31,30,33
2020-04-16,,,1,1,3,32,31,36
2020-04-17,,,1,1,3,34,32,39
2020-04-18,,,1,1,3,35,33,42
2020-04-19,,,1,1,3,37,34,45
2020-04-20,,,1,1,3,38,35,48
2020-04-21,,,1,1,3,39,36,51
2020-04-22,,,1,1,2,41,37,53
2020-04-23,,,1,1,2,42,38,56
2020-04-24,,,1,1,2,43,39,58
2020-04-25,,,1,1,2,45,40,60
2020-04-26,,,1,1,2,46,41,62
2020-04-27,,,1,1,2,47,42,64
2020-04-28,,,1,0,2,48,42,66
2020-04-29,,,1,0,2,49,42,68
2020-04-30,,,1,0,2,50,42,70
2020-05-01,,,1,0,2,51,42,72
2020-05-02,,,1,0,2,52,42,74
2020-05-03,,,1,0,2,53,42,76
2020-05-04,,,1,0,2,54,42,78
2020-05-05,,,1,0,2,55,42,80
2020-05-06,,,1,0,2,56,42,82
2020-05-07,,,1,0,2,56,42,84
2020-05-08,,,1,0,2,57,42,86
2020-05-09,,,1,0,2,58,42,88
2020-05-10,,,1,0,2,59,42,90
2020-05-11,,,1,0,2,59,42,92
2020-05-12,,,1,0,2,60,42,94
2020-05-13,,,1,0,2,60,42,96
2020-05-14,,,1,0,2,61,42,98
2020-05-15,,,1,0,2,62,42,100
2020-05-16,,,1,0,2,62,42,102
2020-05-17,,,1,0,2,63,42,104
2020-05-18,,,1,0,2,63,42,106
2020-05-19,,,0,0,2,64,42,108
