date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,1,1,,,,,,
2020-03-18,0,1,,,,,,
2020-03-19,2,3,,,,,,
2020-03-20,1,4,,,,,,
2020-03-21,5,9,,,,,,
2020-03-22,21,30,,,,,,
2020-03-23,7,37,,,,,,
2020-03-24,7,44,,,,,,
2020-03-25,15,59,,,,,,
2020-03-26,16,75,,,,,,
2020-03-27,17,92,,,,,,
2020-03-28,16,108,,,,,,
2020-03-29,23,131,,,,,,
2020-03-30,37,168,,,,,,
2020-03-31,46,214,,,,,,
2020-04-01,63,277,,,,,,
2020-04-02,79,356,,,,,,
2020-04-03,69,425,,,,,,
2020-04-04,76,501,,,,,,
2020-04-05,73,574,,,,,,
2020-04-06,75,649,,,,,,
2020-04-07,76,725,,,,,,
2020-04-08,87,812,,,,,,
2020-04-09,96,908,,,,,,
2020-04-10,98,1006,,,,,,
2020-04-11,95,1101,,,,,,
2020-04-12,97,1198,,,,,,
2020-04-13,98,1296,,,,,,
2020-04-14,107,1403,,,,,,
2020-04-15,115,1518,,,,,,
2020-04-16,125,1643,,,,,,
2020-04-17,126,1769,,,,,,
2020-04-18,121,1890,,,,,,
2020-04-19,127,2017,,,,,,
2020-04-20,123,2140,,,,,,
2020-04-21,119,2259,,,,,,
2020-04-22,117,2376,,,,,,
2020-04-23,,,143,98,222,2519,2474,2598
2020-04-24,,,142,93,229,2661,2567,2827
2020-04-25,,,140,88,237,2802,2655,3063
2020-04-26,,,138,83,243,2940,2738,3305
2020-04-27,,,135,78,246,3075,2817,3550
