combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.40,0.81,2020-03-22,0.97,2020-06-11
Canada-British Columbia,1.15,0.83,2020-03-23,0.98,2020-06-11
Canada-Ontario,1.74,0.87,2020-03-29,1.01,2020-06-11
Canada-Quebec,2.10,0.92,2020-03-28,1.04,2020-06-11
US-AZ-Maricopa,1.25,1.01,2020-03-21,1.09,2020-06-11
US-CA-Alameda,1.22,0.80,2020-03-23,0.95,2020-06-11
US-CA-Los Angeles,2.96,1.00,2020-03-17,1.01,2020-06-11
US-CA-Orange,1.44,1.03,2020-03-24,1.10,2020-06-11
US-CA-Riverside,1.52,0.97,2020-03-22,1.07,2020-06-11
US-CA-Sacramento,1.18,0.66,2020-03-24,0.85,2020-06-11
US-CA-San Bernardino,1.29,0.92,2020-03-23,1.04,2020-06-11
US-CA-San Diego,1.33,0.93,2020-03-22,1.06,2020-06-11
US-CA-Santa Clara,2.32,0.75,2020-03-13,0.91,2020-06-11
US-FL-Broward,1.39,0.83,2020-03-21,0.99,2020-06-11
US-FL-Hillsborough,1.37,1.02,2020-03-24,1.10,2020-06-11
US-FL-Miami-Dade,3.79,0.87,2020-03-11,1.02,2020-06-11
US-FL-Orange,1.46,0.75,2020-03-23,0.93,2020-06-11
US-FL-Palm Beach,1.38,0.91,2020-03-16,1.06,2020-06-11
US-IL-Cook,3.37,0.94,2020-03-17,0.96,2020-06-11
US-LA-Orleans,1.97,0.64,2020-03-14,0.82,2020-06-11
US-MA-Middlesex,2.46,0.84,2020-03-27,0.97,2020-06-11
US-MA-Suffolk,1.77,0.79,2020-03-31,0.92,2020-06-11
US-MI-Wayne,3.56,0.86,2020-03-14,1.01,2020-06-11
US-NJ-Bergen,3.80,0.83,2020-03-15,0.86,2020-06-11
US-NJ-Essex,3.58,0.82,2020-03-16,0.85,2020-06-11
US-NJ-Hudson,2.09,0.79,2020-03-25,0.95,2020-06-11
US-NV-Clark,1.93,0.84,2020-03-14,1.00,2020-06-11
US-NV-Washoe,2.76,0.88,2020-03-17,1.02,2020-06-11
US-NY-Nassau,4.01,0.75,2020-03-14,0.91,2020-06-11
US-NY-New York City,5.57,0.80,2020-03-12,0.82,2020-06-11
US-NY-Suffolk,3.18,0.83,2020-03-16,0.99,2020-06-11
US-NY-Westchester,4.37,0.73,2020-03-15,0.90,2020-06-11
US-PA-Philadelphia,3.78,0.92,2020-03-14,0.94,2020-06-11
US-TX-Bexar,1.18,0.78,2020-03-24,0.91,2020-06-11
US-TX-Dallas,1.35,0.97,2020-03-21,0.99,2020-06-11
US-TX-Harris,1.36,0.87,2020-03-22,0.95,2020-06-11
US-TX-Tarrant,1.23,0.95,2020-03-23,1.00,2020-06-11
US-WA-King,2.30,0.84,2020-03-16,0.96,2020-06-11
