combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.40,0.82,2020-03-22,0.94,2020-05-28
Canada-British Columbia,1.13,0.85,2020-03-23,0.99,2020-05-28
Canada-Ontario,1.74,0.86,2020-03-29,0.89,2020-05-28
Canada-Quebec,2.09,0.94,2020-03-28,0.96,2020-05-28
US-AZ-Maricopa,1.24,1.01,2020-03-21,1.10,2020-05-28
US-CA-Alameda,1.34,0.82,2020-03-23,0.85,2020-05-28
US-CA-Los Angeles,2.98,0.97,2020-03-18,0.97,2020-05-28
US-CA-Orange,1.23,1.03,2020-03-24,1.09,2020-05-28
US-CA-Riverside,1.51,0.97,2020-03-22,1.06,2020-05-28
US-CA-Sacramento,1.15,0.73,2020-03-24,0.87,2020-05-28
US-CA-San Bernardino,1.30,0.93,2020-03-23,1.04,2020-05-28
US-CA-San Diego,1.36,0.94,2020-03-22,1.04,2020-05-28
US-CA-Santa Clara,2.42,0.67,2020-03-02,0.70,2020-05-28
US-FL-Broward,1.43,0.80,2020-03-21,0.95,2020-05-28
US-FL-Hillsborough,1.23,1.07,2020-03-24,1.15,2020-05-28
US-FL-Miami-Dade,3.80,0.86,2020-03-11,0.99,2020-05-28
US-FL-Orange,1.50,0.74,2020-03-23,0.91,2020-05-28
US-FL-Palm Beach,1.36,0.86,2020-03-16,1.00,2020-05-28
US-IL-Cook,3.40,1.01,2020-03-14,1.01,2020-05-28
US-LA-Orleans,1.91,0.68,2020-03-15,0.85,2020-05-28
US-MA-Middlesex,2.47,0.83,2020-03-27,0.86,2020-05-28
US-MA-Suffolk,1.81,0.76,2020-03-31,0.78,2020-05-28
US-MI-Wayne,3.60,0.82,2020-03-15,0.84,2020-05-28
US-NJ-Bergen,3.81,0.84,2020-03-15,0.86,2020-05-28
US-NJ-Essex,3.60,0.83,2020-03-15,0.85,2020-05-28
US-NJ-Hudson,2.13,0.77,2020-03-25,0.80,2020-05-28
US-NV-Clark,1.95,0.86,2020-03-16,1.01,2020-05-28
US-NV-Washoe,2.80,0.83,2020-03-17,0.98,2020-05-28
US-NY-Nassau,4.01,0.78,2020-03-14,0.81,2020-05-28
US-NY-New York City,5.61,0.77,2020-03-11,0.77,2020-05-28
US-NY-Suffolk,3.22,0.88,2020-03-15,0.90,2020-05-28
US-NY-Westchester,4.41,0.74,2020-03-15,0.77,2020-05-28
US-PA-Philadelphia,3.78,0.95,2020-03-14,0.95,2020-05-28
US-TX-Bexar,1.16,0.78,2020-03-24,0.95,2020-05-28
US-TX-Dallas,1.33,0.97,2020-03-21,1.05,2020-05-28
US-TX-Harris,1.37,0.87,2020-03-22,0.98,2020-05-28
US-TX-Tarrant,1.19,0.98,2020-03-23,1.08,2020-05-28
US-WA-King,2.17,0.82,2020-03-17,0.85,2020-05-28
