combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.69,0.87,2020-03-22,1.02,2020-07-01
Canada-British Columbia,1.21,0.82,2020-03-23,0.98,2020-07-01
Canada-Ontario,1.70,0.86,2020-03-30,0.96,2020-07-01
Canada-Quebec,2.04,0.88,2020-03-29,0.95,2020-07-01
US-AZ-Maricopa,1.41,1.02,2020-03-21,1.08,2020-07-01
US-CA-Alameda,1.30,0.81,2020-03-23,1.12,2020-07-01
US-CA-Los Angeles,2.26,1.01,2020-03-16,1.10,2020-07-01
US-CA-Orange,1.43,1.05,2020-03-24,1.13,2020-07-01
US-CA-Riverside,1.54,0.98,2020-03-22,1.15,2020-07-01
US-CA-Sacramento,1.21,0.75,2020-03-24,1.08,2020-07-01
US-CA-San Bernardino,1.53,0.90,2020-03-23,1.11,2020-07-01
US-CA-San Diego,1.49,0.94,2020-03-22,1.10,2020-07-01
US-CA-Santa Clara,1.40,0.77,2020-03-09,1.07,2020-07-01
US-FL-Broward,1.47,0.87,2020-03-21,1.11,2020-07-01
US-FL-Hillsborough,1.33,1.02,2020-03-24,1.15,2020-07-01
US-FL-Miami-Dade,2.81,0.90,2020-03-15,1.16,2020-07-01
US-FL-Orange,1.40,0.82,2020-03-23,1.12,2020-07-01
US-FL-Palm Beach,1.84,0.90,2020-03-10,1.16,2020-07-01
US-IL-Cook,3.57,0.94,2020-03-13,1.02,2020-07-01
US-LA-Orleans,1.71,0.70,2020-03-12,0.90,2020-07-01
US-MA-Middlesex,2.30,0.83,2020-03-28,1.03,2020-07-01
US-MA-Suffolk,1.74,0.81,2020-03-31,1.00,2020-07-01
US-MI-Wayne,2.87,0.83,2020-03-09,1.01,2020-07-01
US-NJ-Bergen,2.86,0.86,2020-03-08,1.03,2020-07-01
US-NJ-Essex,3.73,0.82,2020-03-12,0.99,2020-07-01
US-NJ-Hudson,1.85,0.81,2020-03-24,0.98,2020-07-01
US-NV-Clark,1.55,0.88,2020-03-13,1.17,2020-07-01
US-NV-Washoe,2.77,0.81,2020-03-17,1.07,2020-07-01
US-NY-Nassau,3.99,0.77,2020-03-12,0.96,2020-07-01
US-NY-New York City,5.33,0.77,2020-03-08,0.97,2020-07-01
US-NY-Suffolk,3.33,0.83,2020-03-13,1.04,2020-07-01
US-NY-Westchester,4.40,0.72,2020-03-16,0.93,2020-07-01
US-PA-Philadelphia,3.79,0.87,2020-03-15,1.08,2020-07-01
US-TX-Bexar,1.30,0.88,2020-03-24,1.11,2020-07-01
US-TX-Dallas,1.63,1.01,2020-03-21,1.08,2020-07-01
US-TX-Harris,1.55,0.98,2020-03-22,1.10,2020-07-01
US-TX-Tarrant,1.53,0.97,2020-03-23,1.01,2020-07-01
US-WA-King,1.88,0.89,2020-03-05,1.09,2020-07-01
