combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.42,0.80,2020-03-22,0.96,2020-06-16
Canada-British Columbia,1.17,0.81,2020-03-23,0.97,2020-06-16
Canada-Ontario,1.73,0.86,2020-03-30,0.96,2020-06-16
Canada-Quebec,2.11,0.92,2020-03-28,0.98,2020-06-16
US-AZ-Maricopa,1.24,1.00,2020-03-21,1.05,2020-06-16
US-CA-Alameda,1.36,0.80,2020-03-23,0.96,2020-06-16
US-CA-Los Angeles,2.34,0.99,2020-03-12,1.07,2020-06-16
US-CA-Orange,1.23,1.04,2020-03-24,1.10,2020-06-16
US-CA-Riverside,1.39,0.97,2020-03-22,1.06,2020-06-16
US-CA-Sacramento,1.07,0.71,2020-03-24,0.89,2020-06-16
US-CA-San Bernardino,1.28,0.89,2020-03-23,1.01,2020-06-16
US-CA-San Diego,1.28,0.91,2020-03-22,1.04,2020-06-16
US-CA-Santa Clara,1.15,0.76,2020-03-09,0.93,2020-06-16
US-FL-Broward,1.29,0.85,2020-03-21,0.99,2020-06-16
US-FL-Hillsborough,1.36,1.01,2020-03-24,1.08,2020-06-16
US-FL-Miami-Dade,2.76,0.85,2020-03-14,0.99,2020-06-16
US-FL-Orange,1.42,0.75,2020-03-23,0.93,2020-06-16
US-FL-Palm Beach,1.81,0.91,2020-03-10,1.05,2020-06-16
US-IL-Cook,3.56,0.94,2020-03-12,0.98,2020-06-16
US-LA-Orleans,1.66,0.69,2020-03-11,0.83,2020-06-16
US-MA-Middlesex,2.34,0.84,2020-03-28,0.96,2020-06-16
US-MA-Suffolk,1.72,0.80,2020-03-30,0.92,2020-06-16
US-MI-Wayne,2.89,0.85,2020-03-10,0.94,2020-06-16
US-NJ-Bergen,2.90,0.87,2020-03-09,0.90,2020-06-16
US-NJ-Essex,3.77,0.85,2020-03-12,0.87,2020-06-16
US-NJ-Hudson,1.89,0.84,2020-03-24,0.93,2020-06-16
US-NV-Clark,1.52,0.87,2020-03-13,1.00,2020-06-16
US-NV-Washoe,2.77,0.85,2020-03-17,0.99,2020-06-16
US-NY-Nassau,3.97,0.76,2020-03-11,0.85,2020-06-16
US-NY-New York City,5.40,0.81,2020-03-08,0.87,2020-06-16
US-NY-Suffolk,3.35,0.85,2020-03-12,0.94,2020-06-16
US-NY-Westchester,4.42,0.72,2020-03-15,0.83,2020-06-16
US-PA-Philadelphia,3.77,0.91,2020-03-14,0.95,2020-06-16
US-TX-Bexar,1.31,0.80,2020-03-24,0.94,2020-06-16
US-TX-Dallas,1.29,0.97,2020-03-21,0.98,2020-06-16
US-TX-Harris,1.30,0.89,2020-03-22,0.96,2020-06-16
US-TX-Tarrant,1.16,0.95,2020-03-23,0.97,2020-06-16
US-WA-King,1.86,0.88,2020-03-05,1.01,2020-06-16
