region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.94,2020-03-18,1.07,2020-06-25
AK,1.95,0.48,2020-03-15,0.84,2020-06-25
AL,1.34,0.96,2020-04-03,1.10,2020-06-25
AR,1.20,1.02,2020-04-04,1.09,2020-06-25
AZ,1.28,0.98,2020-04-13,1.08,2020-06-25
CA,1.62,1.00,2020-03-23,1.10,2020-06-25
CO,1.27,0.88,2020-04-02,1.04,2020-06-25
CT,2.30,0.88,2020-03-24,0.96,2020-06-25
DC,1.66,0.90,2020-03-30,0.99,2020-06-25
DE,1.42,0.87,2020-04-09,1.02,2020-06-25
FL,1.75,0.95,2020-03-20,1.08,2020-06-25
GA,2.04,0.98,2020-03-16,1.08,2020-06-25
GU,0.71,0.46,2020-03-20,0.78,2020-06-25
HI,2.14,0.50,2020-03-17,0.83,2020-06-25
IA,1.23,0.84,2020-04-24,0.97,2020-06-25
ID,2.07,0.64,2020-03-21,1.06,2020-06-25
IL,2.14,0.95,2020-03-22,1.03,2020-06-25
IN,1.56,0.89,2020-04-02,1.04,2020-06-25
KS,1.25,0.83,2020-03-27,1.01,2020-06-25
KY,1.86,0.94,2020-03-17,1.07,2020-06-25
LA,2.19,0.88,2020-03-15,1.02,2020-06-25
MA,2.01,0.89,2020-03-28,0.96,2020-06-25
MD,1.98,0.93,2020-03-27,1.02,2020-06-25
ME,1.52,0.80,2020-03-25,0.98,2020-06-25
MI,2.05,0.84,2020-03-18,1.02,2020-06-25
MN,1.81,0.97,2020-04-02,1.06,2020-06-25
MO,1.87,0.90,2020-03-20,1.05,2020-06-25
MP,1.03,0.43,2020-03-20,0.73,2020-06-25
MS,1.43,0.94,2020-04-10,1.04,2020-06-25
MT,1.41,0.54,2020-03-27,0.99,2020-06-25
NC,1.87,0.97,2020-03-26,1.06,2020-06-25
ND,1.35,0.88,2020-03-28,0.95,2020-06-25
NE,1.85,1.00,2020-03-20,1.02,2020-06-25
NH,1.43,0.92,2020-04-13,1.06,2020-06-25
NJ,2.53,0.89,2020-03-19,0.94,2020-06-25
NM,1.39,0.94,2020-04-08,1.05,2020-06-25
NV,1.88,0.91,2020-03-17,1.06,2020-06-25
NY,3.69,0.82,2020-03-13,0.96,2020-06-25
OH,1.52,0.92,2020-04-03,1.06,2020-06-25
OK,1.79,0.77,2020-03-15,1.01,2020-06-25
OR,1.57,0.88,2020-03-19,1.12,2020-06-25
PA,1.83,0.88,2020-04-03,1.03,2020-06-25
PR,2.17,0.82,2020-03-17,1.00,2020-06-25
RI,1.53,0.93,2020-04-05,1.02,2020-06-25
SC,1.69,0.98,2020-03-19,1.09,2020-06-25
SD,1.11,0.96,2020-03-25,1.02,2020-06-25
TN,1.96,0.95,2020-03-13,1.09,2020-06-25
TX,1.79,0.95,2020-03-18,1.09,2020-06-25
UT,1.18,0.98,2020-03-28,1.09,2020-06-25
VA,1.48,0.91,2020-04-03,1.04,2020-06-25
VI,1.60,0.43,2020-03-20,0.74,2020-06-25
VT,1.32,0.56,2020-03-20,0.92,2020-06-25
WA,1.59,0.81,2020-03-13,1.08,2020-06-25
WI,1.90,0.95,2020-03-13,1.07,2020-06-25
WV,1.50,0.75,2020-03-31,0.94,2020-06-25
WY,1.52,0.77,2020-03-28,0.95,2020-06-25
