combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.75,2020-03-22,0.83,2020-05-25,1.23,2020-10-04,1.01
Canada-British Columbia,1.17,2020-03-23,0.76,2020-05-19,1.16,2020-10-04,1.03
Canada-Ontario,1.87,2020-03-27,0.78,2020-06-01,1.18,2020-10-04,1.04
Canada-Quebec,2.06,2020-03-27,0.84,2020-06-01,1.13,2020-10-04,1.00
US-AZ-Maricopa,1.39,2020-03-21,1.00,2020-05-11,1.45,2020-10-04,0.96
US-CA-Alameda,1.35,2020-03-23,0.80,2020-06-01,1.24,2020-10-04,1.00
US-CA-Los Angeles,2.35,2020-03-12,0.99,2020-06-05,1.19,2020-10-04,0.92
US-CA-Orange,1.37,2020-03-24,0.99,2020-05-26,1.27,2020-10-04,0.96
US-CA-Riverside,1.57,2020-03-22,0.95,2020-05-23,1.26,2020-10-04,0.93
US-CA-Sacramento,1.29,2020-03-24,0.81,2020-05-23,1.45,2020-10-04,0.94
US-CA-San Bernardino,1.38,2020-03-23,0.92,2020-05-23,1.30,2020-10-04,0.93
US-CA-San Diego,1.35,2020-03-22,0.93,2020-05-23,1.17,2020-10-04,0.97
US-CA-Santa Clara,1.33,2020-03-09,0.76,2020-06-05,1.26,2020-10-04,1.00
US-FL-Broward,1.40,2020-03-21,0.80,2020-05-20,1.48,2020-10-04,1.00
US-FL-Hillsborough,1.35,2020-03-24,0.98,2020-05-15,1.38,2020-10-04,1.02
US-FL-Miami-Dade,2.77,2020-03-13,0.89,2020-05-20,1.34,2020-10-04,1.00
US-FL-Orange,1.33,2020-03-23,0.86,2020-05-15,1.47,2020-10-04,1.01
US-FL-Palm Beach,1.78,2020-03-10,0.89,2020-05-20,1.28,2020-10-04,1.04
US-IL-Cook,2.59,2020-03-19,0.94,2020-06-15,1.07,2020-10-04,1.03
US-LA-Orleans,1.83,2020-03-10,0.57,2020-05-15,1.00,2020-10-04,1.01
US-MA-Middlesex,2.31,2020-03-26,0.79,2020-06-06,1.09,2020-10-04,1.04
US-MA-Suffolk,1.93,2020-03-28,0.74,2020-06-06,1.08,2020-10-04,1.03
US-MI-Wayne,2.77,2020-03-11,0.72,2020-06-08,1.11,2020-10-04,1.03
US-NJ-Bergen,2.76,2020-03-10,0.85,2020-06-15,0.91,2020-10-04,0.99
US-NJ-Essex,3.79,2020-03-12,0.80,2020-06-15,0.93,2020-10-04,0.99
US-NJ-Hudson,1.79,2020-03-22,0.77,2020-06-15,0.97,2020-10-04,1.01
US-NV-Clark,1.61,2020-03-13,0.88,2020-05-15,1.44,2020-10-04,0.96
US-NV-Washoe,2.80,2020-03-17,0.88,2020-05-15,1.17,2020-10-04,1.03
US-NY-Nassau,4.03,2020-03-13,0.73,2020-06-01,0.96,2020-10-04,0.98
US-NY-New York City,5.41,2020-03-08,0.67,2020-06-08,1.23,2020-10-04,1.12
US-NY-Suffolk,3.42,2020-03-15,0.79,2020-06-01,0.96,2020-10-04,1.00
US-NY-Westchester,4.40,2020-03-16,0.70,2020-06-01,0.96,2020-10-04,0.98
US-PA-Philadelphia,3.79,2020-03-16,0.86,2020-06-15,1.10,2020-10-04,1.06
US-TX-Bexar,1.26,2020-03-24,0.87,2020-05-01,1.47,2020-10-04,0.99
US-TX-Dallas,1.64,2020-03-21,0.96,2020-05-01,1.33,2020-10-04,1.03
US-TX-Harris,1.58,2020-03-22,0.97,2020-05-01,1.42,2020-10-04,1.02
US-TX-Tarrant,1.57,2020-03-23,0.91,2020-05-01,1.35,2020-10-04,1.03
US-WA-King,1.90,2020-03-04,0.87,2020-06-08,1.00,2020-10-04,1.01
