region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.93,2020-03-18,1.06,2020-07-14
AK,1.93,0.51,2020-03-15,0.96,2020-07-14
AL,1.49,0.98,2020-04-03,1.09,2020-07-14
AR,1.53,1.01,2020-04-04,1.02,2020-07-14
AZ,1.29,0.99,2020-04-13,1.00,2020-07-14
CA,1.71,1.01,2020-03-23,1.05,2020-07-14
CO,1.29,0.89,2020-04-02,1.03,2020-07-14
CT,2.29,0.83,2020-03-24,0.92,2020-07-14
DC,1.67,0.90,2020-03-30,1.03,2020-07-14
DE,1.46,0.87,2020-04-09,1.01,2020-07-14
FL,1.82,0.97,2020-03-20,1.08,2020-07-14
GA,2.09,0.98,2020-03-17,1.09,2020-07-14
GU,0.79,0.45,2020-03-20,0.83,2020-07-14
HI,2.13,0.51,2020-03-17,1.10,2020-07-14
IA,1.32,0.86,2020-04-24,1.01,2020-07-14
ID,2.23,0.66,2020-03-21,1.10,2020-07-14
IL,2.12,0.94,2020-03-24,1.02,2020-07-14
IN,1.57,0.90,2020-04-02,1.05,2020-07-14
KS,1.28,0.83,2020-03-27,1.04,2020-07-14
KY,1.87,0.95,2020-03-17,1.13,2020-07-14
LA,2.10,0.88,2020-03-15,1.09,2020-07-14
MA,1.93,0.90,2020-03-28,0.97,2020-07-14
MD,2.01,0.93,2020-03-28,1.02,2020-07-14
ME,1.67,0.85,2020-03-25,1.07,2020-07-14
MI,1.98,0.84,2020-03-18,1.07,2020-07-14
MN,1.89,0.93,2020-04-02,1.04,2020-07-14
MO,1.89,0.91,2020-03-20,1.06,2020-07-14
MP,1.43,0.43,2020-03-20,0.85,2020-07-14
MS,1.45,0.95,2020-04-10,1.04,2020-07-14
MT,1.28,0.70,2020-03-27,1.13,2020-07-14
NC,2.00,0.98,2020-03-26,1.01,2020-07-14
ND,1.39,0.91,2020-03-28,1.00,2020-07-14
NE,2.08,1.03,2020-03-21,0.94,2020-07-14
NH,1.52,0.87,2020-04-14,0.91,2020-07-14
NJ,2.58,0.89,2020-03-19,1.02,2020-07-14
NM,1.42,0.94,2020-04-08,1.06,2020-07-14
NV,1.87,0.93,2020-03-17,1.16,2020-07-14
NY,3.64,0.83,2020-03-12,0.98,2020-07-14
OH,1.54,0.92,2020-04-03,1.07,2020-07-14
OK,1.82,0.78,2020-03-15,1.01,2020-07-14
OR,1.67,0.93,2020-03-19,1.11,2020-07-14
PA,1.80,0.88,2020-04-03,1.01,2020-07-14
PR,2.28,0.86,2020-03-17,1.09,2020-07-14
RI,1.68,0.88,2020-04-05,0.96,2020-07-14
SC,1.78,1.01,2020-03-19,1.07,2020-07-14
SD,1.21,1.00,2020-03-25,0.95,2020-07-14
TN,2.04,0.98,2020-03-13,1.06,2020-07-14
TX,1.91,0.97,2020-03-18,1.05,2020-07-14
UT,1.49,0.99,2020-03-28,1.06,2020-07-14
VA,1.56,0.93,2020-04-03,1.14,2020-07-14
VI,1.71,0.58,2020-03-20,1.13,2020-07-14
VT,1.36,0.59,2020-03-20,0.99,2020-07-14
WA,1.57,0.89,2020-03-13,1.06,2020-07-14
WI,2.08,0.95,2020-03-14,1.03,2020-07-14
WV,1.52,0.76,2020-03-31,0.98,2020-07-14
WY,1.58,0.70,2020-03-28,0.91,2020-07-14
