combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.39,0.81,2020-03-22,0.96,2020-06-01
Canada-British Columbia,1.13,0.86,2020-03-23,1.00,2020-06-01
Canada-Ontario,1.74,0.86,2020-03-30,0.94,2020-06-01
Canada-Quebec,2.09,0.92,2020-03-28,0.99,2020-06-01
US-AZ-Maricopa,1.24,1.01,2020-03-21,1.09,2020-06-01
US-CA-Alameda,1.24,0.77,2020-03-23,0.85,2020-06-01
US-CA-Los Angeles,2.96,0.98,2020-03-17,0.98,2020-06-01
US-CA-Orange,1.22,1.03,2020-03-24,1.09,2020-06-01
US-CA-Riverside,1.51,0.97,2020-03-22,1.07,2020-06-01
US-CA-Sacramento,1.14,0.69,2020-03-24,0.86,2020-06-01
US-CA-San Bernardino,1.33,0.96,2020-03-23,1.06,2020-06-01
US-CA-San Diego,1.35,0.94,2020-03-22,1.05,2020-06-01
US-CA-Santa Clara,2.39,0.67,2020-03-02,0.76,2020-06-01
US-FL-Broward,1.38,0.81,2020-03-21,0.97,2020-06-01
US-FL-Hillsborough,1.20,1.07,2020-03-24,1.11,2020-06-01
US-FL-Miami-Dade,3.79,0.87,2020-03-11,1.01,2020-06-01
US-FL-Orange,1.47,0.74,2020-03-23,0.92,2020-06-01
US-FL-Palm Beach,1.36,0.84,2020-03-16,0.99,2020-06-01
US-IL-Cook,3.38,0.98,2020-03-16,0.98,2020-06-01
US-LA-Orleans,1.95,0.64,2020-03-14,0.82,2020-06-01
US-MA-Middlesex,2.46,0.84,2020-03-27,0.85,2020-06-01
US-MA-Suffolk,1.80,0.76,2020-03-31,0.78,2020-06-01
US-MI-Wayne,3.58,0.82,2020-03-15,0.90,2020-06-01
US-NJ-Bergen,3.80,0.83,2020-03-15,0.83,2020-06-01
US-NJ-Essex,3.57,0.82,2020-03-16,0.82,2020-06-01
US-NJ-Hudson,2.08,0.79,2020-03-24,0.88,2020-06-01
US-NV-Clark,1.88,0.84,2020-03-15,0.99,2020-06-01
US-NV-Washoe,2.78,0.85,2020-03-17,1.00,2020-06-01
US-NY-Nassau,4.01,0.75,2020-03-14,0.84,2020-06-01
US-NY-New York City,5.57,0.79,2020-03-11,0.79,2020-06-01
US-NY-Suffolk,3.20,0.85,2020-03-16,0.93,2020-06-01
US-NY-Westchester,4.39,0.73,2020-03-15,0.82,2020-06-01
US-PA-Philadelphia,3.79,0.92,2020-03-14,0.92,2020-06-01
US-TX-Bexar,1.15,0.78,2020-03-24,0.95,2020-06-01
US-TX-Dallas,1.36,0.96,2020-03-21,1.03,2020-06-01
US-TX-Harris,1.35,0.88,2020-03-22,0.98,2020-06-01
US-TX-Tarrant,1.20,0.97,2020-03-23,1.07,2020-06-01
US-WA-King,2.22,0.83,2020-03-16,0.84,2020-06-01
