country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.62,2020-03-14,0.83,2020-06-14,1.12,2020-08-09,0.99
Argentina,1.45,2020-03-17,1.10,2020-06-28,1.26,2020-08-09,0.99
Australia,1.22,2020-03-23,0.70,2020-06-01,1.57,2020-08-09,1.00
Austria,1.91,2020-03-12,0.64,2020-05-25,1.13,2020-08-09,0.98
Bangladesh,1.94,2020-03-28,1.09,2020-05-15,1.00,2020-08-09,0.96
Belarus,1.64,2020-04-06,0.97,2021-01-01,1.09,2020-08-09,0.96
Belgium,2.90,2020-03-14,0.72,2020-05-25,1.33,2020-08-09,0.97
Bolivia,1.62,2020-04-05,1.06,2020-06-01,1.18,2020-08-09,0.95
Brazil,1.86,2020-04-08,1.01,2020-06-15,1.14,2020-08-09,1.00
Bulgaria,1.61,2020-03-11,0.99,2020-05-25,1.28,2020-08-09,0.98
Canada,1.99,2020-03-25,0.85,2020-05-25,1.03,2020-08-09,0.99
Chile,1.40,2020-05-18,0.93,2020-07-20,1.12,2020-08-09,1.02
China,3.44,2020-01-21,0.63,2020-04-08,1.09,2020-08-09,0.97
Colombia,2.44,2020-03-18,1.16,2020-06-01,1.21,2020-08-09,0.94
Croatia,1.40,2020-03-20,0.70,2020-05-25,1.31,2020-08-09,0.99
Cuba,1.19,2020-04-08,0.64,2020-06-01,1.08,2020-08-09,0.98
Cyprus,1.58,2020-03-12,0.46,2020-05-25,1.01,2020-08-09,0.96
Czechia,2.22,2020-03-14,0.44,2020-05-25,1.27,2020-08-09,1.00
Denmark,2.43,2020-03-08,0.63,2020-05-25,1.17,2020-08-09,0.99
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.16,2020-08-09,0.98
Ecuador,1.89,2020-04-10,0.86,2020-06-01,1.09,2020-08-09,0.92
Egypt,1.87,2020-03-20,1.08,2020-06-15,0.87,2020-08-09,0.85
Estonia,2.42,2020-03-11,0.43,2020-05-25,0.78,2020-08-09,0.77
Finland,1.73,2020-03-26,0.65,2020-05-25,1.01,2020-08-09,0.94
France,1.76,2020-03-14,0.78,2020-05-25,1.16,2020-08-09,0.93
Germany,2.53,2020-03-13,0.76,2020-05-15,1.21,2020-08-09,0.99
Greece,1.56,2020-03-08,0.59,2020-05-25,1.24,2020-08-09,1.01
Honduras,1.45,2020-04-06,0.98,2020-06-01,1.21,2020-08-09,0.97
Hungary,1.90,2020-03-23,0.79,2020-05-25,1.05,2020-08-09,0.97
Iceland,1.40,2020-03-21,0.45,2020-05-15,1.02,2020-08-09,0.95
India,1.59,2020-04-18,1.08,2020-05-15,1.13,2020-08-09,1.03
Indonesia,1.57,2020-03-15,1.03,2020-06-15,1.09,2020-08-09,0.99
Iran,2.65,2020-02-25,0.88,2020-04-20,1.23,2020-08-09,0.91
Ireland,1.63,2020-03-27,0.69,2020-05-25,1.12,2020-08-09,0.95
Israel,2.82,2020-03-17,0.69,2020-05-15,1.43,2020-08-09,0.98
Italy,2.74,2020-02-26,0.88,2020-05-25,1.05,2020-08-09,0.90
Japan,1.40,2020-04-01,0.77,2020-06-01,1.22,2020-08-09,1.05
Kuwait,1.91,2020-04-16,0.90,2020-06-30,1.09,2020-08-09,1.00
Latvia,1.52,2020-03-30,0.46,2020-05-25,0.94,2020-08-09,0.91
Lithuania,1.82,2020-03-12,0.68,2020-05-25,0.93,2020-08-09,0.91
Luxembourg,1.52,2020-03-18,0.55,2020-05-25,1.35,2020-08-09,0.98
Malaysia,2.29,2020-03-08,0.60,2020-05-15,0.81,2020-08-09,0.82
Malta,1.64,2020-03-20,0.63,2020-05-25,0.95,2020-08-09,0.93
Mexico,2.42,2020-04-01,1.04,2020-06-01,1.12,2020-08-09,1.00
Moldova,1.88,2020-03-19,1.02,2020-05-15,1.13,2020-08-09,0.95
Morocco,2.15,2020-03-12,0.75,2020-06-01,1.44,2020-08-09,1.02
Netherlands,2.69,2020-03-08,0.79,2020-05-25,1.22,2020-08-09,1.03
Nigeria,1.65,2020-04-12,0.96,2020-05-15,0.96,2020-08-09,0.96
Norway,1.69,2020-03-17,0.53,2020-05-15,1.00,2020-08-09,0.94
Pakistan,1.61,2020-05-11,0.85,2020-05-20,0.84,2020-08-09,0.88
Panama,1.39,2020-03-19,1.00,2020-05-15,1.24,2020-08-09,0.94
Peru,2.30,2020-04-02,1.04,2020-06-01,1.13,2020-08-09,0.91
Philippines,1.16,2020-03-15,0.95,2020-06-01,1.19,2020-08-09,1.01
Poland,1.51,2020-03-18,0.93,2020-05-25,1.16,2020-08-09,0.99
Portugal,2.19,2020-03-10,0.78,2020-05-25,1.06,2020-08-09,0.95
Romania,1.77,2020-03-15,0.83,2020-05-25,1.36,2020-08-09,0.97
Russia,1.64,2020-04-18,0.94,2020-05-15,1.00,2020-08-09,0.95
Saudi Arabia,2.51,2020-03-22,1.15,2020-06-21,1.04,2020-08-09,0.95
Serbia,1.63,2020-03-24,0.74,2020-05-15,1.40,2020-08-09,0.95
Slovakia,1.52,2020-03-28,0.50,2020-05-25,1.29,2020-08-09,1.04
Slovenia,1.45,2020-03-20,0.63,2020-05-25,1.24,2020-08-09,1.00
South Africa,2.70,2020-03-30,1.10,2020-06-01,1.20,2020-08-09,0.94
South Korea,2.23,2020-02-21,0.81,2020-05-06,1.09,2020-08-09,0.99
Spain,3.50,2020-03-04,0.77,2020-05-25,1.31,2020-08-09,0.94
Sweden,2.02,2020-03-17,0.93,2021-01-01,1.00,2020-08-09,0.87
Switzerland,2.34,2020-03-08,0.69,2020-05-25,1.12,2020-08-09,0.96
Turkey,2.69,2020-03-19,0.71,2020-06-01,1.07,2020-08-09,0.97
Ukraine,1.87,2020-03-23,1.00,2020-05-15,1.19,2020-08-09,1.01
United Arab Emirates,1.74,2020-04-03,0.81,2020-06-01,1.05,2020-08-09,0.97
United Kingdom,2.92,2020-03-11,0.90,2020-06-01,1.11,2020-08-09,0.93
United States,2.28,2020-03-15,0.91,2020-05-09,1.25,2020-08-09,0.96
