combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.40,0.81,2020-03-22,0.97,2020-06-08
Canada-British Columbia,1.14,0.84,2020-03-23,0.99,2020-06-08
Canada-Ontario,1.74,0.87,2020-03-29,1.00,2020-06-08
Canada-Quebec,2.10,0.93,2020-03-28,1.04,2020-06-08
US-AZ-Maricopa,1.25,1.01,2020-03-21,1.09,2020-06-08
US-CA-Alameda,1.24,0.77,2020-03-23,0.92,2020-06-08
US-CA-Los Angeles,2.96,0.99,2020-03-17,1.00,2020-06-08
US-CA-Orange,1.44,1.03,2020-03-24,1.10,2020-06-08
US-CA-Riverside,1.52,0.97,2020-03-22,1.07,2020-06-08
US-CA-Sacramento,1.19,0.66,2020-03-24,0.84,2020-06-08
US-CA-San Bernardino,1.30,0.94,2020-03-23,1.06,2020-06-08
US-CA-San Diego,1.33,0.93,2020-03-22,1.06,2020-06-08
US-CA-Santa Clara,2.35,0.75,2020-03-13,0.88,2020-06-08
US-FL-Broward,1.39,0.82,2020-03-21,0.98,2020-06-08
US-FL-Hillsborough,1.38,1.04,2020-03-24,1.10,2020-06-08
US-FL-Miami-Dade,3.78,0.88,2020-03-11,1.02,2020-06-08
US-FL-Orange,1.46,0.75,2020-03-23,0.93,2020-06-08
US-FL-Palm Beach,1.32,0.83,2020-03-16,0.99,2020-06-08
US-IL-Cook,3.37,0.94,2020-03-17,0.95,2020-06-08
US-LA-Orleans,1.97,0.64,2020-03-14,0.82,2020-06-08
US-MA-Middlesex,2.46,0.85,2020-03-27,0.95,2020-06-08
US-MA-Suffolk,1.76,0.80,2020-03-31,0.91,2020-06-08
US-MI-Wayne,3.58,0.81,2020-03-15,0.96,2020-06-08
US-NJ-Bergen,3.79,0.83,2020-03-15,0.84,2020-06-08
US-NJ-Essex,3.58,0.83,2020-03-16,0.83,2020-06-08
US-NJ-Hudson,2.11,0.79,2020-03-25,0.94,2020-06-08
US-NV-Clark,1.94,0.84,2020-03-15,0.99,2020-06-08
US-NV-Washoe,2.77,0.86,2020-03-17,1.01,2020-06-08
US-NY-Nassau,4.01,0.75,2020-03-14,0.90,2020-06-08
US-NY-New York City,5.57,0.80,2020-03-12,0.80,2020-06-08
US-NY-Suffolk,3.17,0.84,2020-03-16,0.98,2020-06-08
US-NY-Westchester,4.37,0.73,2020-03-15,0.89,2020-06-08
US-PA-Philadelphia,3.78,0.92,2020-03-14,0.93,2020-06-08
US-TX-Bexar,1.16,0.78,2020-03-24,0.93,2020-06-08
US-TX-Dallas,1.32,0.98,2020-03-21,1.03,2020-06-08
US-TX-Harris,1.34,0.89,2020-03-22,0.98,2020-06-08
US-TX-Tarrant,1.22,0.95,2020-03-23,1.00,2020-06-08
US-WA-King,2.29,0.84,2020-03-16,0.93,2020-06-08
