region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.25,2020-03-15,0.91,2020-05-11,1.26,2020-08-25,0.94
AK,1.97,2020-03-15,0.50,2020-04-24,1.39,2020-08-25,1.01
AL,1.49,2020-04-02,0.96,2020-05-11,1.31,2020-08-25,0.91
AR,1.53,2020-04-04,0.99,2020-05-11,1.28,2020-08-25,0.94
AZ,1.25,2020-04-13,1.00,2020-05-11,1.42,2020-08-25,0.85
CA,1.72,2020-03-22,0.98,2020-06-01,1.25,2020-08-25,0.93
CO,1.18,2020-04-02,0.86,2020-05-15,1.01,2020-08-25,0.92
CT,2.30,2020-03-18,0.82,2020-06-01,0.96,2020-08-25,0.86
DC,1.85,2020-03-27,0.89,2020-06-08,1.13,2020-08-25,0.89
DE,1.52,2020-04-06,0.86,2020-06-01,1.11,2020-08-25,0.92
FL,1.68,2020-03-20,0.93,2020-05-04,1.47,2020-08-25,0.86
GA,2.20,2020-03-16,0.96,2020-04-27,1.36,2020-08-25,0.90
GU,1.24,2020-03-20,0.45,2020-06-01,1.52,2020-08-25,0.99
HI,2.14,2020-03-17,0.50,2020-06-01,1.55,2020-08-25,0.99
IA,1.32,2020-04-24,0.80,2020-05-15,1.22,2020-08-25,0.95
ID,2.15,2020-03-21,0.73,2020-05-16,1.58,2020-08-25,0.94
IL,2.18,2020-03-22,0.93,2020-06-01,1.16,2020-08-25,0.94
IN,1.56,2020-03-31,0.88,2020-05-11,1.21,2020-08-25,0.95
KS,1.46,2020-03-25,0.82,2020-05-04,1.28,2020-08-25,0.97
KY,1.98,2020-03-17,0.92,2020-05-22,1.21,2020-08-25,0.97
LA,2.40,2020-03-12,0.81,2020-05-15,1.38,2020-08-25,0.87
MA,2.27,2020-03-22,0.88,2020-06-06,1.11,2020-08-25,0.90
MD,1.95,2020-03-25,0.91,2020-06-01,1.07,2020-08-25,0.93
ME,1.56,2020-03-25,0.83,2020-06-01,0.99,2020-08-25,0.92
MI,2.03,2020-03-14,0.79,2020-06-08,1.19,2020-08-25,0.95
MN,2.06,2020-04-01,0.92,2020-06-01,1.15,2020-08-25,0.94
MO,1.96,2020-03-19,0.86,2020-05-15,1.26,2020-08-25,0.97
MP,1.35,2020-03-20,0.50,2020-06-01,1.11,2020-08-25,0.99
MS,1.44,2020-04-10,0.93,2020-05-07,1.38,2020-08-25,0.89
MT,1.28,2020-03-27,0.53,2020-05-04,1.57,2020-08-25,0.99
NC,2.19,2020-03-25,0.96,2020-05-08,1.22,2020-08-25,0.95
ND,1.34,2020-03-28,0.85,2020-05-01,1.22,2020-08-25,0.98
NE,2.26,2020-03-23,0.99,2020-05-04,1.09,2020-08-25,0.95
NH,1.44,2020-04-14,0.86,2020-05-18,0.96,2020-08-25,0.90
NJ,2.63,2020-03-13,0.88,2020-06-15,0.96,2020-08-25,0.84
NM,1.39,2020-04-08,0.89,2020-06-01,1.19,2020-08-25,0.96
NV,1.97,2020-03-17,0.91,2020-05-15,1.40,2020-08-25,0.91
NY,3.84,2020-03-11,0.75,2020-06-01,1.06,2020-08-25,0.85
OH,1.58,2020-03-31,0.91,2020-05-21,1.15,2020-08-25,0.92
OK,1.99,2020-03-15,0.76,2020-05-01,1.37,2020-08-25,0.96
OR,1.62,2020-03-19,0.89,2020-05-25,1.36,2020-08-25,0.98
PA,1.85,2020-03-31,0.88,2020-06-05,1.06,2020-08-25,0.93
PR,2.37,2020-03-17,0.82,2020-06-01,1.52,2020-08-25,0.97
RI,1.65,2020-04-03,0.88,2020-05-25,1.06,2020-08-25,0.89
SC,1.95,2020-03-19,0.95,2020-05-11,1.52,2020-08-25,0.90
SD,1.25,2020-03-25,0.96,2020-05-01,1.11,2020-08-25,0.95
TN,2.02,2020-03-13,1.00,2020-05-01,1.28,2020-08-25,0.95
TX,1.99,2020-03-18,0.93,2020-05-01,1.52,2020-08-25,0.90
UT,1.54,2020-03-28,0.99,2020-05-16,1.24,2020-08-25,0.96
VA,1.59,2020-04-03,0.92,2020-06-01,1.11,2020-08-25,0.95
VI,2.03,2020-03-20,0.46,2020-06-01,1.33,2020-08-25,0.99
VT,1.37,2020-03-20,0.44,2020-06-01,0.97,2020-08-25,0.91
WA,1.66,2020-03-10,0.90,2020-06-01,1.22,2020-08-25,0.97
WI,2.18,2020-03-13,0.91,2020-05-14,1.19,2020-08-25,0.98
WV,1.53,2020-03-31,0.78,2020-05-04,1.43,2020-08-25,0.98
WY,1.58,2020-03-28,0.71,2020-05-01,1.14,2020-08-25,0.99
