date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,1,,,
2020-03-27,1,,,
2020-03-28,1,,,
2020-03-29,3,,,
2020-03-30,0,,,
2020-03-31,4,,,
2020-04-01,1,,,
2020-04-02,1,,,
2020-04-03,,1,0,1
2020-04-04,,2,1,2
2020-04-05,,2,1,2
2020-04-06,,2,1,3
2020-04-07,,2,1,3
2020-04-08,,2,1,3
2020-04-09,,2,1,3
2020-04-10,,2,0,3
2020-04-11,,2,0,3
2020-04-12,,2,0,3
2020-04-13,,2,0,3
2020-04-14,,2,1,3
2020-04-15,,2,1,3
2020-04-16,,2,1,3
2020-04-17,,2,1,3
2020-04-18,,2,1,3
2020-04-19,,1,0,2
2020-04-20,,1,0,2
2020-04-21,,1,0,2
2020-04-22,,1,0,2
2020-04-23,,1,0,2
2020-04-24,,1,0,2
2020-04-25,,1,0,2
2020-04-26,,1,0,1
2020-04-27,,1,0,1
2020-04-28,,1,0,1
2020-04-29,,1,0,1
2020-04-30,,1,0,1
2020-05-01,,1,0,1
2020-05-02,,1,0,1
2020-05-03,,1,0,1
2020-05-04,,1,0,1
2020-05-05,,1,0,1
2020-05-06,,1,0,1
2020-05-07,,1,0,1
2020-05-08,,1,0,1
2020-05-09,,1,0,1
2020-05-10,,1,0,1
2020-05-11,,1,0,1
2020-05-12,,1,0,1
2020-05-13,,1,0,1
2020-05-14,,1,0,1
2020-05-15,,1,0,1
2020-05-16,,1,0,1
2020-05-17,,1,0,1
2020-05-18,,1,0,1
2020-05-19,,1,0,1
2020-05-20,,1,0,1
2020-05-21,,1,0,1
2020-05-22,,1,0,1
2020-05-23,,1,0,1
2020-05-24,,1,0,1
2020-05-25,,1,0,1
2020-05-26,,1,0,1
2020-05-27,,1,0,1
2020-05-28,,1,0,1
2020-05-29,,0,0,0
2020-05-30,,0,0,0
2020-05-31,,0,0,0
2020-06-01,,0,0,0
2020-06-02,,0,0,0
2020-06-03,,0,0,0
2020-06-04,,0,0,0
2020-06-05,,0,0,0
2020-06-06,,0,0,0
2020-06-07,,0,0,0
2020-06-08,,0,0,0
2020-06-09,,0,0,0
2020-06-10,,0,0,0
2020-06-11,,0,0,0
2020-06-12,,0,0,0
2020-06-13,,0,0,0
2020-06-14,,0,0,0
2020-06-15,,0,0,0
2020-06-16,,0,0,0
2020-06-17,,0,0,0
2020-06-18,,0,0,0
2020-06-19,,0,0,0
2020-06-20,,0,0,0
2020-06-21,,0,0,0
2020-06-22,,0,0,0
2020-06-23,,0,0,0
2020-06-24,,0,0,0
2020-06-25,,0,0,0
2020-06-26,,0,0,0
2020-06-27,,0,0,0
2020-06-28,,0,0,0
2020-06-29,,0,0,0
2020-06-30,,0,0,0
