date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-05,0,0,,,,,,,103,50,150,103,50,150,103,50,150
2020-02-06,0,0,,,,,,,103,50,150,207,100,300,207,100,300
2020-02-07,0,0,,,,,,,103,50,150,310,150,450,310,150,450
2020-02-08,0,0,,,,,,,103,50,150,413,200,600,413,200,600
2020-02-09,0,0,,,,,,,264,150,450,677,350,1050,677,350,1050
2020-02-10,0,0,,,,,,,264,150,450,942,500,1500,942,500,1500
2020-02-11,0,0,,,,,,,264,150,450,1206,650,1950,1206,650,1950
2020-02-12,0,0,,,,,,,382,200,700,1587,850,2650,1587,850,2650
2020-02-13,0,0,,,,,,,382,200,700,1968,1050,3350,1968,1050,3350
2020-02-14,0,0,,,,,,,523,279,910,2492,1329,4260,2492,1329,4260
2020-02-15,0,0,,,,,,,716,379,1209,3208,1709,5469,3208,1709,5469
2020-02-16,0,0,,,,,,,741,395,1248,3949,2104,6717,3949,2104,6717
2020-02-17,0,0,,,,,,,873,457,1426,4822,2562,8142,4822,2562,8142
2020-02-18,0,0,,,,,,,1749,942,2694,6572,3505,10836,6572,3505,10836
2020-02-19,0,0,,,,,,,2357,1282,3583,8929,4788,14418,8929,4788,14418
2020-02-20,0,0,,,,,,,2448,1334,3711,11273,6072,17978,11376,6122,18128
2020-02-21,0,0,,,,,,,3067,1648,4733,14236,7671,22560,14443,7771,22860
2020-02-22,0,0,,,,,,,4245,2230,6278,18377,9854,28687,18687,10004,29137
2020-02-23,0,0,,,,,,,4687,2454,6904,22961,12259,35439,23374,12459,36039
2020-02-24,0,0,,,,,,,6157,3215,9219,28854,15326,44208,29531,15676,45258
2020-02-25,0,0,,,,,,,6791,3678,10070,35382,18855,53825,36324,19355,55325
2020-02-26,0,0,,,,,,,7607,4099,11293,42727,22807,64665,43933,23457,66615
2020-02-27,0,0,,,,,,,9909,5289,14921,52247,27900,78882,53835,28750,81532
2020-02-28,0,0,,,,,,,11451,6236,17217,63318,33940,95398,65288,34990,98748
2020-02-29,1,1,,,,,,,12615,6887,19061,75411,40555,113544,77902,41885,117804
2020-03-01,0,1,,,,,,,14899,8141,22624,89592,48320,134956,92800,50030,140424
2020-03-02,5,6,,,,,,,19364,10530,29542,108215,58464,163239,112164,60569,169955
2020-03-03,1,7,,,,,,,23641,12714,36529,130984,70729,198333,135804,73292,206475
2020-03-04,4,11,,,,,,,28926,15590,45314,158160,85385,240943,164731,88891,251779
2020-03-05,1,12,,,,,,,34199,18673,53931,190005,102793,291275,198932,107582,305693
2020-03-06,2,14,,,,,,,40993,22479,65335,228546,123952,352882,239922,130075,371009
2020-03-07,3,17,,,,,,,49256,27249,78609,274740,149571,426738,289179,157345,449597
2020-03-08,4,21,,,,,,,59329,33212,93684,329826,180569,514133,348516,190574,543268
2020-03-09,1,22,,,,,,,70845,40357,110412,395983,218496,617625,419358,230957,653662
2020-03-10,6,28,,,,,,,83720,48523,128452,473545,263824,736837,503077,279501,782093
2020-03-11,8,36,,,,,,,97392,57674,144804,564145,317839,871550,600466,337197,926873
2020-03-12,4,40,,,,,,,112389,68701,161668,668927,382454,1021914,712855,405915,1088528
2020-03-13,7,47,,,,,,,127332,81153,178740,786351,458342,1185706,840187,487098,1267236
2020-03-14,7,54,,,,,,,141772,95781,193836,916676,547907,1362311,981964,582902,1461050
2020-03-15,9,63,,,,,,,154998,109069,206475,1059057,650108,1549697,1136960,691997,1667496
