country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,CA,Los Angeles,40,26,58
US,IL,Cook,37,23,46
Canada,,Quebec,37,19,50
US,NY,New York City,28,4,76
Canada,,Ontario,15,6,28
US,PA,Philadelphia,13,9,18
US,MI,Wayne,11,4,17
US,AZ,Maricopa,10,6,13
US,FL,Miami-Dade,9,6,13
US,MA,Middlesex,7,3,11
US,FL,Palm Beach,6,4,9
US,NJ,Bergen,6,2,10
US,CA,Orange,5,3,8
US,NJ,Essex,5,2,10
US,CA,Riverside,4,2,6
US,CA,San Diego,4,2,6
US,NY,Nassau,4,1,11
US,NY,Suffolk,4,1,8
US,NJ,Hudson,4,1,7
US,TX,Dallas,3,2,5
US,FL,Broward,3,1,5
US,MA,Suffolk,3,1,5
US,TX,Harris,3,1,5
US,NV,Clark,3,1,4
US,TX,Tarrant,2,1,4
US,CA,San Bernardino,2,1,3
US,FL,Hillsborough,2,1,3
US,NY,Westchester,2,0,5
US,WA,King,2,0,4
Canada,,British Columbia,1,0,2
US,LA,Orleans,1,0,2
US,NV,Washoe,1,0,2
US,TX,Bexar,1,0,2
Canada,,Alberta,1,0,1
US,CA,Alameda,1,0,1
US,CA,Santa Clara,1,0,1
US,CA,Sacramento,0,0,1
US,FL,Orange,0,0,1
