date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,2,2,,,,,,
2020-03-21,0,2,,,,,,
2020-03-22,0,2,,,,,,
2020-03-23,3,5,,,,,,
2020-03-24,2,7,,,,,,
2020-03-25,1,8,,,,,,
2020-03-26,1,9,,,,,,
2020-03-27,1,10,,,,,,
2020-03-28,2,12,,,,,,
2020-03-29,0,12,,,,,,
2020-03-30,0,12,,,,,,
2020-03-31,1,13,,,,,,
2020-04-01,3,16,,,,,,
2020-04-02,1,17,,,,,,
2020-04-03,0,17,,,,,,
2020-04-04,3,20,,,,,,
2020-04-05,2,22,,,,,,
2020-04-06,1,23,,,,,,
2020-04-07,0,23,,,,,,
2020-04-08,0,23,,,,,,
2020-04-09,0,23,,,,,,
2020-04-10,1,24,,,,,,
2020-04-11,1,25,,,,,,
2020-04-12,2,27,,,,,,
2020-04-13,1,28,,,,,,
2020-04-14,1,29,,,,,,
2020-04-15,0,29,,,,,,
2020-04-16,4,33,,,,,,
2020-04-17,,,1,1,2,34,34,35
2020-04-18,,,1,1,2,36,35,37
2020-04-19,,,1,1,2,37,36,39
2020-04-20,,,1,1,2,38,36,41
2020-04-21,,,1,1,2,40,37,44
2020-04-22,,,1,1,2,41,38,46
2020-04-23,,,1,1,2,42,38,48
2020-04-24,,,1,1,2,43,39,50
2020-04-25,,,1,1,2,44,40,52
2020-04-26,,,1,1,2,45,40,54
2020-04-27,,,1,1,2,47,41,56
2020-04-28,,,1,1,2,48,41,58
2020-04-29,,,1,1,2,49,42,60
2020-04-30,,,1,1,2,50,43,62
2020-05-01,,,1,1,2,51,43,63
2020-05-02,,,1,0,2,52,44,65
2020-05-03,,,1,0,2,53,44,67
2020-05-04,,,1,0,2,54,44,69
2020-05-05,,,1,0,2,55,45,71
2020-05-06,,,1,0,2,56,45,73
2020-05-07,,,1,0,2,57,46,75
2020-05-08,,,1,0,2,58,46,76
2020-05-09,,,1,0,2,59,47,78
2020-05-10,,,1,0,2,60,47,80
2020-05-11,,,1,0,2,61,47,82
2020-05-12,,,1,0,2,62,48,84
2020-05-13,,,1,0,2,62,48,85
2020-05-14,,,1,0,2,63,49,87
2020-05-15,,,1,0,2,64,49,89
2020-05-16,,,1,0,2,65,49,91
2020-05-17,,,1,0,2,66,50,92
2020-05-18,,,1,0,2,67,50,94
2020-05-19,,,1,0,2,67,50,96
