date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,1,1,,,,,,
2020-03-26,0,1,,,,,,
2020-03-27,0,1,,,,,,
2020-03-28,0,1,,,,,,
2020-03-29,1,2,,,,,,
2020-03-30,0,2,,,,,,
2020-03-31,2,4,,,,,,
2020-04-01,1,5,,,,,,
2020-04-02,1,6,,,,,,
2020-04-03,1,7,,,,,,
2020-04-04,3,10,,,,,,
2020-04-05,1,11,,,,,,
2020-04-06,1,12,,,,,,
2020-04-07,,,1,1,2,13,13,14
2020-04-08,,,1,1,2,14,14,16
2020-04-09,,,1,1,2,15,15,18
2020-04-10,,,1,1,2,17,16,20
2020-04-11,,,1,1,2,18,17,22
2020-04-12,,,1,1,2,19,18,24
2020-04-13,,,1,1,2,20,19,26
2020-04-14,,,1,0,2,21,19,28
2020-04-15,,,1,0,2,22,19,30
2020-04-16,,,1,0,2,23,19,32
2020-04-17,,,1,0,2,24,19,34
2020-04-18,,,1,0,2,25,19,36
2020-04-19,,,1,0,2,26,19,38
2020-04-20,,,1,0,2,27,19,40
2020-04-21,,,1,0,1,27,19,41
2020-04-22,,,1,0,1,28,19,42
2020-04-23,,,1,0,1,29,19,43
2020-04-24,,,1,0,1,29,19,44
2020-04-25,,,1,0,1,30,19,45
2020-04-26,,,1,0,1,30,19,46
2020-04-27,,,1,0,1,31,19,47
2020-04-28,,,1,0,1,32,19,48
2020-04-29,,,1,0,1,32,19,49
2020-04-30,,,0,0,1,33,19,50
2020-05-01,,,0,0,1,33,19,51
2020-05-02,,,0,0,1,33,19,52
2020-05-03,,,0,0,1,34,19,53
2020-05-04,,,0,0,1,34,19,54
2020-05-05,,,0,0,1,35,19,55
2020-05-06,,,0,0,1,35,19,56
2020-05-07,,,0,0,1,35,19,57
2020-05-08,,,0,0,1,36,19,58
2020-05-09,,,0,0,1,36,19,59
2020-05-10,,,0,0,1,36,19,60
2020-05-11,,,0,0,1,36,19,61
2020-05-12,,,0,0,1,37,19,62
2020-05-13,,,0,0,1,37,19,63
2020-05-14,,,0,0,1,37,19,64
2020-05-15,,,0,0,1,38,19,65
2020-05-16,,,0,0,1,38,19,66
2020-05-17,,,0,0,1,38,19,67
2020-05-18,,,0,0,1,39,19,68
2020-05-19,,,0,0,1,39,19,69
2020-05-20,,,0,0,1,39,19,70
2020-05-21,,,0,0,1,39,19,71
2020-05-22,,,0,0,1,39,19,72
2020-05-23,,,0,0,1,40,19,73
2020-05-24,,,0,0,0,40,19,73
2020-05-25,,,0,0,0,40,19,73
2020-05-26,,,0,0,0,40,19,73
2020-05-27,,,0,0,0,40,19,73
2020-05-28,,,0,0,0,40,19,73
2020-05-29,,,0,0,0,40,19,73
2020-05-30,,,0,0,0,40,19,73
2020-05-31,,,0,0,0,40,19,73
2020-06-01,,,0,0,0,40,19,73
2020-06-02,,,0,0,0,40,19,73
2020-06-03,,,0,0,0,40,19,73
2020-06-04,,,0,0,0,40,19,73
2020-06-05,,,0,0,0,40,19,73
2020-06-06,,,0,0,0,40,19,73
2020-06-07,,,0,0,0,40,19,73
2020-06-08,,,0,0,0,40,19,73
2020-06-09,,,0,0,0,40,19,73
2020-06-10,,,0,0,0,40,19,73
2020-06-11,,,0,0,0,40,19,73
2020-06-12,,,0,0,0,40,19,73
2020-06-13,,,0,0,0,40,19,73
2020-06-14,,,0,0,0,40,19,73
2020-06-15,,,0,0,0,40,19,73
2020-06-16,,,0,0,0,40,19,73
2020-06-17,,,0,0,0,40,19,73
2020-06-18,,,0,0,0,40,19,73
2020-06-19,,,0,0,0,40,19,73
2020-06-20,,,0,0,0,40,19,73
2020-06-21,,,0,0,0,40,19,73
2020-06-22,,,0,0,0,40,19,73
2020-06-23,,,0,0,0,40,19,73
2020-06-24,,,0,0,0,40,19,73
2020-06-25,,,0,0,0,40,19,73
2020-06-26,,,0,0,0,40,19,73
2020-06-27,,,0,0,0,40,19,73
2020-06-28,,,0,0,0,40,19,73
2020-06-29,,,0,0,0,40,19,73
2020-06-30,,,0,0,0,40,19,73
