date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-21,,,,,,,,,132,70,183,132,70,183,132,70,183,1.57985550324,1.2,2
2020-02-22,,,,,,,,,132,70,183,265,140,366,265,140,366,1.5794298846,1.199548944,1.99995886708
2020-02-23,,,,,,,,,132,70,183,397,211,549,397,211,549,1.57922300137,1.19935132725,1.99993146629
2020-02-24,,,,,,,,,132,70,183,530,281,732,530,281,732,1.57891311072,1.19906828948,1.99988569375
2020-02-25,,,,,,,,,132,70,183,662,352,915,662,352,915,1.57844780259,1.19866191932,1.99980915297
2020-02-26,,,,,,,,,132,70,183,794,422,1098,794,422,1098,1.57774764264,1.19809068029,1.99968324921
2020-02-27,,,,,,,,,132,70,183,927,493,1281,927,493,1281,1.57669235727,1.19716992314,1.9994795636
2020-02-28,,,,,,,,,132,70,183,1059,563,1464,1059,563,1464,1.57510042307,1.19558196068,1.99914436135
2020-02-29,,,,,,,,,132,70,183,1191,634,1647,1191,634,1647,1.57269969733,1.19292177749,1.99859244802
2020-03-01,,,,,,,,,337,194,485,1528,828,2132,1528,828,2132,1.56886705637,1.18885417035,1.99745989141
2020-03-02,,,,,,,,,335,193,479,1863,1022,2611,1863,1022,2611,1.56343089895,1.1831063208,1.99593496194
2020-03-03,,,,,,,,,348,200,499,2211,1222,3110,2211,1222,3110,1.55533443485,1.17312025591,1.99338718587
2020-03-04,,,,,,,,,377,217,547,2588,1440,3656,2588,1440,3656,1.54353265237,1.15773386948,1.98927232483
2020-03-05,,,,,,,,,436,252,644,3024,1693,4299,3024,1693,4299,1.52670062519,1.13419098265,1.98275936342
2020-03-06,,,,,,,,,526,308,797,3550,2001,5096,3550,2001,5096,1.50345643903,1.10390522123,1.97292320093
2020-03-07,,,,,,,,,588,349,904,4005,2280,5816,4137,2351,5999,1.47270802044,1.07462257254,1.95805682713
2020-03-08,,,,,,,,,631,374,969,4504,2584,6602,4768,2725,6968,1.43408666145,1.04772367897,1.93585858129
2020-03-09,,,,,,,,,675,401,1045,5046,2915,7463,5444,3127,8012,1.38822276508,1.01884054989,1.90261564164
2020-03-10,,,,,,,,,721,438,1112,5635,3284,8392,6164,3565,9124,1.33663446026,0.960994000831,1.85564162471
2020-03-11,,,,,,,,,772,470,1176,6274,3683,9384,6936,4036,10299,1.2813254647,0.929573595777,1.78742351857
2020-03-12,,,,,,,,,813,501,1246,6955,4115,10447,7749,4537,11545,1.22433580918,0.896315773156,1.70535492424
2020-03-13,,,,,,,,,842,522,1310,7665,4566,11573,8591,5060,12854,1.16748963569,0.876889717369,1.6535885006
2020-03-14,,,,,,,,,862,534,1345,8394,5030,12735,9453,5594,14199,1.11241060316,0.849191036486,1.56918965194
2020-03-15,,,,,,,,,875,542,1370,9137,5502,13921,10329,6136,15568,1.06061734929,0.829513457972,1.46822830234
2020-03-16,1,1,,,,,,,886,549,1371,9686,5856,14807,11214,6685,16939,1.01351012623,0.817354575344,1.39596744445
2020-03-17,0,1,,,,,,,891,555,1428,10242,6219,15756,12105,7241,18366,0.972236673069,0.809905992122,1.29155323681
2020-03-18,0,1,,,,,,,890,558,1436,10784,6576,16693,12995,7799,19802,0.937533316047,0.805073368121,1.19962521788
