date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,,,,,,,,
2020-03-26,,,,,,,,
2020-03-27,,,,,,,,
2020-03-28,,,,,,,,
2020-03-29,,,,,,,,
2020-03-30,,,,,,,,
2020-03-31,,,,,,,,
2020-04-01,,,,,,,,
2020-04-02,,,,,,,,
2020-04-03,,,,,,,,
2020-04-04,,,,,,,,
2020-04-05,1,1,,,,,,
2020-04-06,0,1,,,,,,
2020-04-07,0,1,,,,,,
2020-04-08,0,1,,,,,,
2020-04-09,0,1,,,,,,
2020-04-10,0,1,,,,,,
2020-04-11,0,1,,,,,,
2020-04-12,0,1,,,,,,
2020-04-13,0,1,,,,,,
2020-04-14,0,1,,,,,,
2020-04-15,0,1,,,,,,
2020-04-16,0,1,,,,,,
2020-04-17,1,2,,,,,,
2020-04-18,1,3,,,,,,
2020-04-19,0,3,,,,,,
2020-04-20,0,3,,,,,,
2020-04-21,0,3,,,,,,
2020-04-22,,,0,0,0,3,3,3
2020-04-23,,,0,0,0,4,3,4
2020-04-24,,,0,0,0,4,4,4
2020-04-25,,,0,0,0,4,4,4
2020-04-26,,,0,0,0,4,4,5
2020-04-27,,,0,0,0,5,4,5
2020-04-28,,,0,0,0,5,5,5
2020-04-29,,,0,0,0,5,5,6
2020-04-30,,,0,0,0,5,5,6
2020-05-01,,,0,0,0,6,5,6
2020-05-02,,,0,0,0,6,5,7
2020-05-03,,,0,0,0,6,6,7
2020-05-04,,,0,0,0,7,6,7
2020-05-05,,,0,0,0,7,6,8
2020-05-06,,,0,0,0,7,6,8
2020-05-07,,,0,0,0,7,6,8
2020-05-08,,,0,0,0,8,6,9
2020-05-09,,,0,0,0,8,7,9
2020-05-10,,,0,0,0,8,7,10
2020-05-11,,,0,0,0,8,7,10
2020-05-12,,,0,0,0,9,7,10
2020-05-13,,,0,0,0,9,7,11
2020-05-14,,,0,0,0,9,8,11
2020-05-15,,,0,0,0,10,8,12
2020-05-16,,,0,0,0,10,8,12
2020-05-17,,,0,0,0,10,8,12
2020-05-18,,,0,0,0,10,8,13
2020-05-19,,,0,0,0,11,8,13
2020-05-20,,,0,0,0,11,8,14
2020-05-21,,,0,0,0,11,9,14
2020-05-22,,,0,0,0,11,9,14
2020-05-23,,,0,0,0,12,9,15
2020-05-24,,,0,0,0,12,9,15
2020-05-25,,,0,0,0,12,9,15
2020-05-26,,,0,0,0,12,9,16
2020-05-27,,,0,0,0,13,9,16
2020-05-28,,,0,0,0,13,10,17
2020-05-29,,,0,0,0,13,10,17
2020-05-30,,,0,0,0,13,10,17
2020-05-31,,,0,0,0,13,10,18
2020-06-01,,,0,0,0,14,10,18
2020-06-02,,,0,0,0,14,10,19
2020-06-03,,,0,0,0,14,10,19
2020-06-04,,,0,0,0,14,10,19
2020-06-05,,,0,0,0,15,11,20
2020-06-06,,,0,0,0,15,11,20
2020-06-07,,,0,0,0,15,11,20
2020-06-08,,,0,0,0,15,11,21
2020-06-09,,,0,0,0,15,11,21
2020-06-10,,,0,0,0,16,11,21
2020-06-11,,,0,0,0,16,11,22
2020-06-12,,,0,0,0,16,11,22
2020-06-13,,,0,0,0,16,11,22
2020-06-14,,,0,0,0,16,12,23
2020-06-15,,,0,0,0,17,12,23
2020-06-16,,,0,0,0,17,12,23
2020-06-17,,,0,0,0,17,12,24
2020-06-18,,,0,0,0,17,12,24
2020-06-19,,,0,0,0,17,12,24
2020-06-20,,,0,0,0,17,12,25
2020-06-21,,,0,0,0,18,12,25
2020-06-22,,,0,0,0,18,12,25
2020-06-23,,,0,0,0,18,12,26
2020-06-24,,,0,0,0,18,12,26
2020-06-25,,,0,0,0,18,13,27
2020-06-26,,,0,0,0,18,13,27
2020-06-27,,,0,0,0,19,13,27
2020-06-28,,,0,0,0,19,13,28
2020-06-29,,,0,0,0,19,13,28
2020-06-30,,,0,0,0,19,13,29
2020-07-01,,,0,0,1,20,13,29
