date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-26,,,,,,,,,56,28,80,56,28,80,56,28,80,2.0592090348,1.8,2.4
2020-02-27,,,,,,,,,56,28,80,111,56,160,111,56,160,2.05900966344,1.79966303485,2.39995999912
2020-02-28,,,,,,,,,56,28,80,167,84,240,167,84,240,2.05895232389,1.79957836431,2.39994255121
2020-02-29,,,,,,,,,56,28,80,223,112,320,223,112,320,2.0588782343,1.79947243127,2.39991749317
2020-03-01,,,,,,,,,56,28,80,279,140,400,279,140,400,2.05878241668,1.79933990364,2.39988337711
2020-03-02,,,,,,,,,56,28,80,334,168,480,334,168,480,2.05865838664,1.7991741163,2.39983530909
2020-03-03,,,,,,,,,56,28,80,390,196,560,390,196,560,2.05849768953,1.79896674026,2.39976899343
2020-03-04,,,,,,,,,56,28,80,446,224,640,446,224,640,2.05828929202,1.7987073709,2.39966883746
2020-03-05,,,,,,,,,56,28,80,501,252,720,501,252,720,2.05801878367,1.79838301651,2.39952322793
2020-03-06,,,,,,,,,169,89,243,670,341,963,670,341,963,2.05758704248,1.79788559927,2.39921473193
2020-03-07,,,,,,,,,168,89,242,838,431,1204,838,431,1204,2.05711999653,1.79736724046,2.39892362741
2020-03-08,,,,,,,,,179,95,258,1018,527,1462,1018,527,1462,2.05649455782,1.79670156743,2.39848002449
2020-03-09,,,,,,,,,202,108,289,1219,635,1750,1219,635,1750,2.05568930491,1.7958781361,2.39785294052
2020-03-10,,,,,,,,,248,134,354,1468,769,2104,1468,769,2104,2.05464696788,1.79485613228,2.39696197207
2020-03-11,,,,,,,,,322,173,463,1790,943,2567,1790,943,2567,2.05329336537,1.7935853805,2.39567615499
2020-03-12,,,,,,,,,381,206,557,2115,1122,3043,2170,1150,3123,2.05152998653,1.7920021938,2.39398887492
2020-03-13,,,,,,,,,436,239,649,2495,1334,3612,2606,1390,3772,2.04922948997,1.7898276672,2.39150456207
2020-03-14,,,,,,,,,505,279,767,2945,1586,4298,3112,1670,4538,2.04623545372,1.7872012748,2.38786998703
2020-03-15,,,,,,,,,592,326,908,3481,1884,5125,3704,1996,5445,2.04234318812,1.78390315752,2.38370381226
2020-03-16,,,,,,,,,703,385,1103,4128,2242,6147,4407,2382,6547,2.03728662365,1.77961156847,2.37826540227
2020-03-17,,,,,,,,,824,451,1310,4897,2665,7377,5231,2833,7857,2.03072773606,1.77385551309,2.37133317731
2020-03-18,,,,,,,,,955,517,1540,5796,3155,8836,6186,3351,9396,2.02224249178,1.76644195744,2.36156802585
2020-03-19,,,,,,,,,1104,589,1801,6844,3717,10557,7290,3941,11197,2.01131268485,1.75701396441,2.34760085608
2020-03-20,,,,,,,,,1275,677,2108,8064,4366,12585,8565,4618,13305,1.99731755323,1.74509059172,2.32883874001
2020-03-21,1,1,,,,,,,1473,785,2435,9368,5062,14777,10038,5404,15740,1.97953869794,1.73011810852,2.30346179329
2020-03-22,0,1,,,,,,,1692,906,2776,10892,5879,17312,11731,6310,18516,1.9571878999,1.71317212264,2.26822766
2020-03-23,0,1,,,,,,,1929,1029,3184,12642,6812,20238,13660,7339,21699,1.92946579928,1.69124818646,2.22446519146
2020-03-24,0,1,,,,,,,2183,1171,3588,14624,7875,23537,15843,8510,25286,1.89565789182,1.64857865746,2.17231875923
2020-03-25,0,1,,,,,,,2453,1311,3993,16828,9052,27175,18296,9822,29278,1.85526055397,1.59378648136,2.12630873412
2020-03-26,1,2,,,,,,,2735,1488,4353,19241,10367,31065,21031,11310,33631,1.80811494793,1.57057620109,2.08881897424
2020-03-27,2,4,,,,,,,3020,1689,4706,21880,11849,35214,24051,13000,38336,1.75451008036,1.54630442129,2.03835676246
2020-03-28,1,5,,,,,,,3300,1898,5022,24744,13508,39586,27351,14898,43357,1.69521435735,1.46111460321,1.96412692349
2020-03-29,4,9,,,,,,,3569,2083,5322,27808,15311,44142,30919,16981,48679,1.63141917828,1.3602830086,1.91784250149
2020-03-30,1,10,,,,,,,3819,2295,5547,31035,17280,48780,34739,19276,54225,1.56461317402,1.27486709551,1.87224659036
2020-03-31,2,12,,,,,,,4048,2514,5731,34380,19409,53408,38787,21791,59955,1.49642909661,1.19276284448,1.83146428144
2020-04-01,5,17,,,,,,,4249,2727,5915,37805,21685,58013,43036,24519,65869,1.42850310278,1.12623608111,1.77735028054
2020-04-02,1,18,,,,,,,4420,2918,6093,41270,24087,62566,47456,27438,71961,1.36236704013,1.07715269178,1.7171784199
2020-04-03,4,22,,,,,,,4559,3094,6177,44725,26591,66942,52015,30532,78138,1.29937531125,1.03912320848,1.63788222843
2020-04-04,2,24,,,,,,,4665,3193,6314,48115,29107,71148,56680,33726,84452,1.24065757112,1.00663301156,1.56669200033
2020-04-05,5,29,,,,,,,4741,3280,6382,51382,31601,75095,61421,37006,90834,1.18708685495,0.982882461738,1.50014597658
2020-04-06,1,30,,,,,,,4789,3329,6459,54479,34025,78777,66210,40335,97292,1.13925608132,0.95718688877,1.41851267413
2020-04-07,4,34,,,,,,,4811,3364,6491,57361,36360,82084,71021,43699,103782,1.09746241869,0.938726004254,1.33112397462
2020-04-08,5,39,,,,,,,4812,3351,6509,59990,38540,85005,75833,47051,110291,1.06170694346,0.926329285371,1.26538143302
2020-04-09,11,50,,,,,,,4796,3339,6489,62333,40568,87501,80629,50391,116779,1.03172034573,0.915765228768,1.20233621003
2020-04-10,7,57,,,,,,,4765,3316,6412,64363,42396,89560,85394,53707,123190,1.00701872442,0.906966377044,1.1483952998
