date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-29,,,,,,,,,22,12,36,22,12,36,22,12,36,2.14975369458,1.8,2.6
2020-03-01,,,,,,,,,22,12,36,45,24,72,45,24,72,2.12971656141,1.76476303823,2.59443521552
2020-03-02,,,,,,,,,22,12,36,67,36,108,67,36,108,2.1230583994,1.75403301757,2.59199845778
2020-03-03,,,,,,,,,22,12,36,90,48,144,90,48,144,2.11421180062,1.73772670814,2.5886739294
2020-03-04,,,,,,,,,22,12,36,112,60,180,112,60,180,2.10249928789,1.71688375626,2.58403759256
2020-03-05,,,,,,,,,22,12,36,134,72,216,134,72,216,2.08707361102,1.69128348962,2.57752445158
2020-03-06,,,,,,,,,22,12,36,157,84,252,157,84,252,2.06690793273,1.65212961116,2.56904910938
2020-03-07,,,,,,,,,22,12,36,179,96,288,179,96,288,2.0408125416,1.6131082433,2.55753179284
2020-03-08,,,,,,,,,22,12,36,202,108,324,202,108,324,2.00749651947,1.56041500823,2.54046978993
2020-03-09,,,,,,,,,66,35,106,268,143,430,268,143,430,1.96556775984,1.48627285102,2.51681113098
2020-03-10,,,,,,,,,65,35,103,332,178,533,332,178,533,1.91420138563,1.40172312355,2.48631879826
2020-03-11,,,,,,,,,67,35,108,399,214,640,399,214,640,1.85262724534,1.30504080165,2.44194514818
2020-03-12,,,,,,,,,73,38,117,472,252,757,472,252,757,1.78086260758,1.1998335965,2.38092031607
2020-03-13,,,,,,,,,85,43,140,557,296,896,557,296,896,1.69959037885,1.0790774685,2.31105496842
2020-03-14,,,,,,,,,103,50,173,659,346,1068,659,346,1068,1.61014235988,0.9801525187,2.23324201603
2020-03-15,,,,,,,,,113,51,194,749,386,1226,772,398,1262,1.51434632246,0.867258615479,2.15619010689
2020-03-16,,,,,,,,,118,50,210,845,424,1399,889,448,1471,1.41434955558,0.779909288519,2.07310546876
2020-03-17,,,,,,,,,123,49,222,945,462,1584,1012,498,1692,1.31247168805,0.697178841704,1.99603763533
2020-03-18,,,,,,,,,127,48,239,1050,499,1787,1140,547,1931,1.21108314103,0.631755785569,1.90942009281
2020-03-19,,,,,,,,,132,47,257,1160,534,2008,1272,594,2188,1.11251930582,0.578442900638,1.77722845857
2020-03-20,,,,,,,,,134,46,265,1271,568,2237,1405,640,2453,1.01899439727,0.53049564556,1.65153191908
2020-03-21,,,,,,,,,132,44,272,1381,601,2472,1537,685,2724,0.932485166113,0.492473452199,1.5209957786
2020-03-22,,,,,,,,,128,42,270,1486,631,2706,1666,727,2994,0.854584916264,0.467026273993,1.39914788704
2020-03-23,,,,,,,,,123,40,265,1587,660,2934,1789,768,3258,0.786351337253,0.449059637051,1.24665830824
2020-03-24,1,1,,,,,,,118,38,250,1639,663,3078,1907,807,3508,0.728204705567,0.435243636059,1.1346727837
2020-03-25,-1,0,,,,,,,112,37,240,1686,665,3215,2018,844,3747,0.679925741706,0.424373721109,1.03414597714
2020-03-26,0,0,,,,,,,105,36,224,1724,666,3331,2123,880,3970,0.640764858781,0.417220835153,0.944583130748
2020-03-27,0,0,,,,,,,98,34,210,1750,662,3423,2222,915,4179,0.609626246187,0.412025247351,0.881693301711
2020-03-28,0,0,,,,,,,92,32,195,1757,651,3478,2314,947,4374,0.585264803649,0.408308219876,0.837157206431
2020-03-29,0,0,,,,,,,86,31,181,1740,632,3487,2399,979,4555,0.566445867195,0.405699726341,0.81098732509
2020-03-30,0,0,,,,,,,80,30,168,1708,611,3462,2479,1009,4723,0.552047237108,0.403876392991,0.78586670779
2020-03-31,0,0,,,,,,,75,29,156,1665,590,3408,2555,1039,4878,0.541107677318,0.402664941125,0.761866021712
2020-04-01,1,1,,,,,,,70,27,144,1613,568,3330,2625,1066,5022,0.532837274132,0.401835044891,0.745726883864
2020-04-02,0,1,,,,,,,66,26,134,1551,545,3225,2691,1093,5155,0.526605640177,0.40123935659,0.73364679285
2020-04-03,2,3,,,,,,,62,25,125,1482,523,3093,2753,1118,5280,0.521920034505,0.400767467536,0.72462426819
2020-04-04,0,3,,,,,,,59,24,117,1407,501,2945,2812,1142,5397,0.518400930614,0.400436188367,0.718321455497
2020-04-05,1,4,,,,,,,56,23,110,1331,480,2783,2868,1166,5506,0.515759017815,0.400212109573,0.713947234692
2020-04-06,1,5,,,,,,,53,22,102,1255,460,2615,2921,1188,5608,0.513775344765,0.400056555278,0.71027854149
2020-04-07,0,5,,,,,,,50,21,96,1182,441,2447,2971,1209,5704,0.512285025348,0.399935770962,0.70762422144
2020-04-08,0,5,,,,,,,48,20,91,1113,423,2288,3020,1230,5795,0.511164292729,0.399862102845,0.705720918521
2020-04-09,1,6,,,,,,,46,19,87,1047,405,2135,3066,1250,5881,0.510320432901,0.399819876438,0.704192430203
2020-04-10,0,6,,,,,,,44,19,83,987,389,1994,3110,1269,5964,0.509684070924,0.399755607871,0.702955890276
2020-04-11,2,8,,,,,,,43,18,80,931,373,1864,3153,1288,6043,0.509203319059,0.399691185134,0.702027696071
2020-04-12,1,9,,,,,,,41,18,76,880,358,1745,3194,1306,6118,0.508839367414,0.39963809263,0.701332629511
