date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-26,,,,,,,,,35,19,53,35,19,53,35,19,53,2.35293067184,2,2.8
2020-02-27,,,,,,,,,35,19,53,71,38,106,71,38,106,2.34425074657,1.98758525085,2.79759556366
2020-02-28,,,,,,,,,35,19,53,106,57,159,106,57,159,2.34141243541,1.98352543675,2.79655806968
2020-02-29,,,,,,,,,35,19,53,142,76,212,142,76,212,2.3376390114,1.97811504905,2.79507266018
2020-03-01,,,,,,,,,35,19,53,177,95,265,177,95,265,2.33262606337,1.97049584581,2.79305860917
2020-03-02,,,,,,,,,35,19,53,213,114,318,213,114,318,2.32597612246,1.95928810475,2.79017994826
2020-03-03,,,,,,,,,35,19,53,248,133,371,248,133,371,2.31717599021,1.94499223111,2.78624734205
2020-03-04,,,,,,,,,35,19,53,284,152,424,284,152,424,2.30557346976,1.9281562431,2.78022381534
2020-03-05,,,,,,,,,35,19,53,319,171,477,319,171,477,2.2903580811,1.90588122106,2.7711358644
2020-03-06,,,,,,,,,116,60,178,435,231,655,435,231,655,2.27045349517,1.87544414545,2.75817424462
2020-03-07,,,,,,,,,114,60,175,550,292,829,550,292,829,2.24492663825,1.83198125705,2.74125241432
2020-03-08,,,,,,,,,122,64,189,671,357,1018,671,357,1018,2.21245019516,1.78333233502,2.71990740877
2020-03-09,,,,,,,,,137,72,217,809,429,1234,809,429,1234,2.1718705856,1.72236816942,2.69396510037
2020-03-10,,,,,,,,,169,87,275,978,516,1509,978,516,1509,2.12220082209,1.644971766,2.66394994639
2020-03-11,,,,,,,,,217,110,363,1195,627,1871,1195,627,1871,2.06285507319,1.55092037989,2.62069417618
2020-03-12,,,,,,,,,251,123,425,1411,731,2242,1446,750,2295,1.99382308027,1.44982529568,2.55924104933
2020-03-13,,,,,,,,,278,133,477,1653,846,2665,1724,884,2771,1.91576521421,1.36273838664,2.4938125055
2020-03-14,,,,,,,,,309,144,541,1927,971,3152,2033,1028,3311,1.82999841267,1.26039148132,2.42738428455
2020-03-15,,,,,,,,,344,156,616,2235,1108,3715,2377,1184,3927,1.73836667934,1.17143430762,2.34424851933
2020-03-16,,,,,,,,,383,166,709,2582,1255,4370,2760,1350,4635,1.64307817611,1.09711105976,2.2641678821
2020-03-17,,,,,,,,,416,177,782,2963,1414,5098,3176,1528,5416,1.54654038413,1.02525937512,2.18143994909
2020-03-18,,,,,,,,,442,180,840,3369,1575,5885,3618,1708,6256,1.45120161676,0.972431482446,2.06619268436
2020-03-19,,,,,,,,,463,181,914,3797,1738,6745,4081,1890,7169,1.35940645087,0.923515545737,1.96038622366
2020-03-20,,,,,,,,,480,182,970,4242,1901,7661,4561,2072,8138,1.27325581496,0.885838116703,1.82604089039
2020-03-21,1,1,,,,,,,494,182,1031,4620,2023,8514,5055,2255,9168,1.1944800279,0.856776578858,1.71313058348
2020-03-22,0,1,,,,,,,503,181,1064,5009,2143,9404,5559,2436,10232,1.12433008927,0.833902519238,1.57392784962
2020-03-23,1,2,,,,,,,506,180,1084,5394,2259,10299,6065,2616,11316,1.06349947285,0.811354461816,1.4519838409
2020-03-24,0,2,,,,,,,505,180,1074,5761,2367,11156,6570,2797,12390,1.01209945187,0.793751230177,1.33947940647
2020-03-25,0,2,,,,,,,501,180,1078,6093,2461,11959,7071,2978,13467,0.969708274151,0.781448753415,1.2326006263
2020-03-26,0,2,,,,,,,494,180,1068,6370,2531,12665,7565,3158,14535,0.935494048479,0.772146348257,1.15234398122
2020-03-27,1,3,,,,,,,486,181,1046,6605,2589,13286,8051,3340,15580,0.908380471788,0.765884197608,1.08903450865
2020-03-28,0,3,,,,,,,477,179,1014,6804,2636,13823,8528,3520,16594,0.887209710516,0.76102481725,1.0325541437
2020-03-29,0,3,,,,,,,466,177,992,6961,2669,14274,8994,3697,17585,0.870867814265,0.75742686923,0.997211058101
2020-03-30,3,6,,,,,,,455,173,953,7073,2686,14610,9450,3871,18537,0.858360633452,0.754860391904,0.974620595389
2020-03-31,2,8,,,,,,,444,170,930,7134,2691,14832,9894,4041,19467,0.848846362225,0.753240587645,0.959739413191
2020-04-01,3,11,,,,,,,433,170,905,7151,2683,14956,10327,4211,20371,0.841638288733,0.752010221518,0.955692788989
2020-04-02,1,12,,,,,,,422,166,878,7131,2669,14994,10749,4378,21249,0.836190912946,0.751067581844,0.953580720924
2020-04-03,3,15,,,,,,,411,162,848,7080,2650,14928,11160,4540,22097,0.832079039934,0.750429675864,0.952306899149
2020-04-04,3,18,,,,,,,400,157,824,6999,2625,14783,11560,4697,22921,0.828975670835,0.749983235641,0.951418255708
2020-04-05,2,20,,,,,,,390,153,798,6895,2596,14550,11950,4851,23718,0.826631683937,0.749613435706,0.950573816227
2020-04-06,1,21,,,,,,,380,149,763,6771,2564,14249,12330,5000,24481,0.824858519038,0.749315140447,0.949984319767
2020-04-07,2,23,,,,,,,370,145,739,6634,2529,13904,12699,5146,25219,0.823514080248,0.749107175355,0.949573396562
