date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-16,,,,,,,,
2020-02-17,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,1,1,,,,,,
2020-03-12,0,1,,,,,,
2020-03-13,1,2,,,,,,
2020-03-14,0,2,,,,,,
2020-03-15,0,2,,,,,,
2020-03-16,0,2,,,,,,
2020-03-17,1,3,,,,,,
2020-03-18,0,3,,,,,,
2020-03-19,1,4,,,,,,
2020-03-20,0,4,,,,,,
2020-03-21,0,4,,,,,,
2020-03-22,3,7,,,,,,
2020-03-23,3,10,,,,,,
2020-03-24,0,10,,,,,,
2020-03-25,2,12,,,,,,
2020-03-26,8,20,,,,,,
2020-03-27,0,20,,,,,,
2020-03-28,4,24,,,,,,
2020-03-29,3,27,,,,,,
2020-03-30,5,32,,,,,,
2020-03-31,3,35,,,,,,
2020-04-01,23,58,,,,,,
2020-04-02,14,72,,,,,,
2020-04-03,0,72,,,,,,
2020-04-04,14,86,,,,,,
2020-04-05,13,99,,,,,,
2020-04-06,37,136,,,,,,
2020-04-07,14,150,,,,,,
2020-04-08,28,178,,,,,,
2020-04-09,48,226,,,,,,
2020-04-10,20,246,,,,,,
2020-04-11,42,288,,,,,,
2020-04-12,43,331,,,,,,
2020-04-13,27,358,,,,,,
2020-04-14,35,393,,,,,,
2020-04-15,,,46,39,51,439,432,444
2020-04-16,,,50,41,56,489,473,499
