date,fips,county,state,total_cases,daily_positive_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-23,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-24,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-25,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-26,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-27,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-28,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-29,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-30,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-01-31,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-01,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-02,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-03,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-04,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-05,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-06,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-07,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-08,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-09,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-10,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-11,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-12,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-13,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-14,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-15,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-16,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-17,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-18,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-19,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-20,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-21,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-22,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-23,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-24,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-25,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-26,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-27,32510,Carson City,NV,0,,,,,,,,,,,,,,,,,,,
2020-02-28,32510,Carson City,NV,0,,,,,1.92857,1.28571,2.89286,1.92857,1.28571,2.89286,3.44905e-05,2.29937e-05,5.17358e-05,1.92857,1.28571,2.89286,3.44905e-05,2.29937e-05,5.17358e-05
2020-02-29,32510,Carson City,NV,0,,,,,1.89286,1.26191,2.83929,3.82143,2.54762,5.73214,6.83423e-05,4.55615e-05,0.000102513,3.82143,2.54762,5.73214,6.83423e-05,4.55615e-05,0.000102513
2020-03-01,32510,Carson City,NV,0,,,,,1.85714,1.2381,2.78571,5.67857,3.78571,8.51786,0.000101555,6.77036e-05,0.000152333,5.67857,3.78571,8.51786,0.000101555,6.77036e-05,0.000152333
2020-03-02,32510,Carson City,NV,0,,,,,1.82143,1.21429,2.73214,7.5,5,11.25,0.00013413,8.94198e-05,0.000201195,7.5,5,11.25,0.00013413,8.94198e-05,0.000201195
2020-03-03,32510,Carson City,NV,0,,,,,2.11429,1.40952,3.17143,9.61429,6.40952,14.4214,0.000171942,0.000114628,0.000257912,9.61429,6.40952,14.4214,0.000171942,0.000114628,0.000257912
2020-03-04,32510,Carson City,NV,0,,,,,2.28571,1.52381,3.42857,11.9,7.93333,17.85,0.000212819,0.000141879,0.000319229,11.9,7.93333,17.85,0.000212819,0.000141879,0.000319229
2020-03-05,32510,Carson City,NV,0,,,,,2.38776,1.59184,3.58163,14.2878,9.52517,21.4316,0.000255522,0.000170348,0.000383283,14.2878,9.52517,21.4316,0.000255522,0.000170348,0.000383283
2020-03-06,32510,Carson City,NV,0,,,,,2.52041,1.68027,3.78061,16.8082,11.2054,25.2122,0.000300597,0.000200398,0.000450895,16.8082,11.2054,25.2122,0.000300597,0.000200398,0.000450895
2020-03-07,32510,Carson City,NV,0,,,,,2.44898,1.63265,3.67347,19.2571,12.8381,28.8857,0.000344394,0.000229596,0.000516591,19.2571,12.8381,28.8857,0.000344394,0.000229596,0.000516591
2020-03-08,32510,Carson City,NV,0,,,,,2.37755,1.58503,3.56633,21.6347,14.4231,32.452,0.000386914,0.000257943,0.000580371,21.6347,14.4231,32.452,0.000386914,0.000257943,0.000580371
2020-03-09,32510,Carson City,NV,0,,,,,2.30612,1.53742,3.45918,23.9408,15.9605,35.9112,0.000428157,0.000285438,0.000642235,23.9408,15.9605,35.9112,0.000428157,0.000285438,0.000642235
2020-03-10,32510,Carson City,NV,0,,,,,1.83673,1.22449,2.7551,25.7776,17.185,38.6663,0.000461005,0.000307337,0.000691507,25.7776,17.185,38.6663,0.000461005,0.000307337,0.000691507
