date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-13,,,,,,,,,1149,546,1942,6251,3124,9924,6564,3295,10386,2.26472551512,1.7983768535,2.59669226073
2020-03-14,,,,,,,,,1377,648,2372,7524,3716,12142,7940,3944,12758,2.26257544208,1.79787091498,2.59529163367
2020-03-15,,,,,,,,,1672,776,2952,9091,4436,14940,9612,4721,15710,2.25975250754,1.79721043156,2.59338361716
2020-03-16,,,,,,,,,2003,915,3614,10990,5294,18399,11615,5636,19323,2.25604612164,1.79633022878,2.59074854015
2020-03-17,,,,,,,,,2375,1082,4387,13261,6319,22632,13990,6718,23710,2.25118309158,1.79513611721,2.58687621596
2020-03-18,,,,,,,,,2813,1225,5322,15970,7488,27799,16804,7944,29031,2.24481470349,1.79358264652,2.58109930377
2020-03-19,,,,,,,,,3339,1396,6470,19206,8828,34115,20143,9341,35501,2.23649877787,1.79133628149,2.57436105673
2020-03-20,3,3,,,,,,,3968,1619,7873,22834,10267,41481,24111,10960,43373,2.22568369168,1.7885300077,2.5647974403
2020-03-21,2,5,,,,,,,4697,1856,9496,27193,11944,50472,28807,12817,52868,2.21169931549,1.78564620259,2.55377135525
2020-03-22,0,5,,,,,,,5531,2125,11390,32361,13879,61317,34338,14943,64258,2.19376107829,1.78207195674,2.53939214961
2020-03-23,0,5,,,,,,,6484,2416,13544,38430,16081,74232,40822,17359,77801,2.17099785983,1.77771091483,2.52034633582
2020-03-24,2,7,,,,,,,7570,2747,15711,45477,18565,89128,48392,20106,93511,2.14251379577,1.76368508873,2.49849473615
2020-03-25,2,9,,,,,,,8793,3180,18132,53576,21406,106156,57185,23287,111642,2.10749233992,1.75209665881,2.46368874938
2020-03-26,0,9,,,,,,,10143,3643,21055,62885,24644,125858,67329,26931,132696,2.06533753026,1.7340790945,2.41851209526
2020-03-27,2,11,,,,,,,11604,4151,24275,73518,28332,148526,78933,31082,156970,2.01582398931,1.69210080683,2.36849996647
2020-03-28,5,16,,,,,,,13158,4704,27353,85527,32491,173937,92091,35787,184323,1.95920767734,1.62344243222,2.33492866179
2020-03-29,2,18,,,,,,,14783,5326,30242,98933,37169,201807,106874,41114,214564,1.89625138879,1.54886777776,2.31069800646
2020-03-30,6,24,,,,,,,16450,5880,33669,113712,42273,232523,123324,46994,248233,1.82815319444,1.45904231965,2.27104082605
2020-03-31,6,30,,,,,,,18128,6483,37143,129837,47841,266052,141452,53478,285375,1.75641110496,1.38530125181,2.19618384065
2020-04-01,8,38,,,,,,,19779,7004,40401,147241,53763,302066,161231,60482,325776,1.68267847942,1.30647594085,2.11915791321
2020-04-02,17,55,,,,,,,21370,7446,42728,165797,59984,339472,182601,67929,368503,1.6086496459,1.24423148899,2.0486861292
2020-04-03,6,61,,,,,,,22870,7923,45663,185328,66511,378665,205471,75852,414165,1.53598184249,1.19974183271,1.97159621527
2020-04-04,12,73,,,,,,,24255,8267,48679,205615,73159,419471,229726,84120,462843,1.46623475212,1.16280018504,1.89262582415
2020-04-05,10,83,,,,,,,25504,8596,52197,226422,79899,462172,255229,92716,515039,1.40080528171,1.13601146901,1.78592587387
2020-04-06,9,92,,,,,,,26607,8875,56212,247499,86649,506994,281836,101592,571251,1.34084911676,1.10281686959,1.69154754436
2020-04-07,15,107,,,,,,,27563,9192,58687,268578,93425,552137,309400,110784,629937,1.28720018222,1.07685013884,1.6167105688
2020-04-08,14,121,,,,,,,28381,9385,61617,289389,100063,598043,337781,120170,691553,1.24031213507,1.05304103082,1.51989282822
2020-04-09,17,138,,,,,,,29073,9636,63727,309668,106519,643638,366854,129806,755279,1.20024495055,1.03521459986,1.44007064629
2020-04-10,31,169,,,,,,,29656,9844,65648,329181,112720,688231,396510,139651,820927,1.16670549446,1.02341949424,1.37047441062
2020-04-11,12,181,,,,,,,30147,10052,66796,347724,118621,730753,426657,149703,887723,1.13913217717,1.01343009384,1.30758580192
2020-04-12,12,193,,,,,,,30562,10218,67415,365128,124135,770815,457219,159922,955137,1.11680045971,1.00085532971,1.25181002392
2020-04-13,23,216,,,,,,,30914,10373,67703,381259,129182,808276,488133,170296,1022840,1.0989238876,0.995263043827,1.20774797851
2020-04-14,14,230,,,,,,,31216,10575,68410,396025,133877,843018,519350,180872,1091250,1.08473312911,0.98862370628,1.17405057484
2020-04-15,24,254,,,,,,,31479,10780,68881,409377,138174,874755,550829,191652,1160130,1.07352681277,0.977495869055,1.14921707686
2020-04-16,20,274,,,,,,,31711,10987,68833,421309,142158,903188,582540,202640,1228963,1.06469679197,0.964019734745,1.1348478935
2020-04-17,26,300,,,,,,,31918,11197,68325,431857,145909,928785,614457,213838,1297288,1.05773461131,0.954527156212,1.12411719738
2020-04-18,48,348,,,,,,,32105,11410,67863,441091,149396,950986,646562,225248,1365150,1.05222635621,0.947076849728,1.11504137993
2020-04-19,52,400,,,,,,,32277,11626,67202,449113,152755,969509,678839,236875,1432352,1.04784161325,0.939715963063,1.10936286894
2020-04-20,45,445,,,,,,,32436,11845,66962,456045,156004,984274,711275,248720,1499313,1.04432039118,0.935537365772,1.10427954649
2020-04-21,39,484,,,,,,,32586,12067,66667,462024,159195,994729,743860,260788,1565979,1.0414602509,0.933621761764,1.10073006628
2020-04-22,46,530,,,,,,,32727,12292,66029,467188,162296,1002071,776588,273080,1632007,1.03910476347,0.931536717306,1.09850116893
2020-04-23,42,572,,,,,,,32862,12520,65244,471669,165431,1005698,809450,285601,1697251,1.03713371261,0.929148550453,1.09662957105
2020-04-24,62,634,,,,,,,32992,12752,64242,475588,168547,1006214,842442,298353,1761493,1.03545506686,0.926688532488,1.09486901195
2020-04-25,66,700,,,,,,,33117,12992,63270,479050,171695,1003836,875560,311346,1824763,1.03399855698,0.925165250958,1.09396772391
2020-04-26,28,728,,,,,,,33239,13206,62237,482141,174849,999277,908799,324553,1886999,1.03271062187,0.923929247043,1.0935046229
2020-04-27,54,782,,,,,,,33357,13423,61391,484936,178054,993253,942155,337976,1948390,1.03155047772,0.921685525998,1.09287622045
2020-04-28,72,854,,,,,,,33472,13597,60885,487494,181277,986435,975627,351574,2009274,1.03048708591,0.918660159636,1.09232902103
2020-04-29,89,943,,,,,,,33584,13794,60326,489862,184496,978351,1009211,365369,2069600,1.02949682779,0.917284417635,1.09189126032
2020-04-30,108,1051,,,,,,,33694,13899,60018,492076,187615,969488,1042905,379268,2129617,1.02856172863,0.916050013089,1.09147262588
2020-05-01,73,1124,,,,,,,33801,14092,59571,494167,190720,960225,1076707,393361,2189188,1.02766810469,0.914585344122,1.09098625106
2020-05-02,76,1200,,,,,,,33907,14289,59063,496156,193812,950964,1110613,407650,2248251,1.02680553441,0.913327905361,1.09060906722
2020-05-03,86,1286,,,,,,,34010,14514,58253,498061,196915,941354,1144623,422164,2306503,1.025966077,0.912484483029,1.09022718594
2020-05-04,58,1344,,,,,,,34111,14724,58037,499895,200014,932189,1178734,436889,2364540,1.02514134572,0.910707015263,1.0898745953
2020-05-05,100,1444,,,,,,,34210,14971,57535,501668,203140,922762,1212943,451860,2422074,1.02432868115,0.909572591094,1.08950623284
2020-05-06,89,1533,,,,,,,34306,15155,57470,503389,206228,913565,1247250,467016,2479544,1.02352540079,0.908729184375,1.08915825552
2020-05-07,94,1627,,,,,,,34401,15404,57359,505063,209340,904895,1281651,482420,2536902,1.02272904214,0.90790337388,1.08879999941
2020-05-08,87,1714,,,,,,,34494,15577,56759,506695,212397,896410,1316145,497998,2593661,1.02193422775,0.907095826731,1.0884327577
2020-05-09,100,1814,,,,,,,34585,15708,56165,508287,215353,888333,1350730,513706,2649825,1.02114056363,0.906310890888,1.08806017257
2020-05-10,75,1889,,,,,,,34674,15949,55512,509844,218310,880574,1385403,529656,2705336,1.02035533201,0.905548600401,1.08768136954
2020-05-11,72,1961,,,,,,,34760,15942,54940,511365,221046,873277,1420164,545599,2760276,1.01957407127,0.904802921079,1.08726083697
2020-05-12,96,2057,,,,,,,34845,16095,54608,512854,223718,866494,1455009,561695,2814883,1.01879170419,0.904074418199,1.08681745926
2020-05-13,112,2169,,,,,,,34928,16303,54493,514310,226423,860102,1489937,577998,2869376,1.01801126864,0.903363468831,1.08636907908
2020-05-14,98,2267,,,,,,,35008,16333,54399,515734,228963,854176,1524945,594332,2923775,1.01722985306,0.902670787145,1.08590867978
2020-05-15,125,2392,,,,,,,35087,16541,54360,517127,231605,848518,1560032,610874,2978135,1.01645093693,0.901997332017,1.08548151618
2020-05-16,131,2523,,,,,,,35163,16557,54160,518489,234070,843107,1595196,627431,3032294,1.01567148016,0.901344377503,1.08504728616
