date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-26,,,,,,,,,185,96,266,185,96,266,185,96,266,2.77655857671,2.4,3.2
2020-02-27,,,,,,,,,185,96,266,371,192,532,371,192,532,2.77412764482,2.39528049077,3.19965694298
2020-02-28,,,,,,,,,185,96,266,556,288,798,556,288,798,2.77302657967,2.39331126246,3.19943802118
2020-02-29,,,,,,,,,185,96,266,742,384,1064,742,384,1064,2.771416832,2.3906863045,3.19909375855
2020-03-01,,,,,,,,,185,96,266,927,480,1330,927,480,1330,2.7690599847,2.38702257212,3.19862240661
2020-03-02,,,,,,,,,185,96,266,1113,576,1596,1113,576,1596,2.76560606114,2.37990913751,3.19778484023
2020-03-03,,,,,,,,,185,96,266,1298,672,1862,1298,672,1862,2.76054363726,2.3707385555,3.19642906946
2020-03-04,,,,,,,,,185,96,266,1484,768,2128,1484,768,2128,2.75313141852,2.35801596041,3.19445090444
2020-03-05,,,,,,,,,185,96,266,1669,864,2394,1669,864,2394,2.74230948184,2.33907547335,3.19131264635
2020-03-06,,,,,,,,,690,352,1046,2360,1216,3440,2360,1216,3440,2.72635840546,2.30584805489,3.18591139836
2020-03-07,,,,,,,,,684,350,1035,3043,1566,4475,3043,1566,4475,2.70372345993,2.25774411574,3.17799251514
2020-03-08,,,,,,,,,743,377,1140,3786,1944,5614,3786,1944,5614,2.67156042229,2.18910076684,3.16624083813
2020-03-09,,,,,,,,,863,434,1350,4649,2378,6963,4649,2378,6963,2.62696504174,2.10914148666,3.14841181863
2020-03-10,,,,,,,,,1110,539,1776,5759,2918,8739,5759,2918,8739,2.56690430819,1.97867191991,3.12146223165
2020-03-11,,,,,,,,,1481,708,2424,7241,3626,11162,7241,3626,11162,2.48900639026,1.79904643047,3.08105813205
2020-03-12,,,,,,,,,1748,835,2908,8803,4366,13804,8989,4462,14070,2.392327635,1.59960680795,3.02125243593
2020-03-13,,,,,,,,,1973,949,3319,10590,5219,16857,10961,5411,17389,2.27779047469,1.43462641809,2.94619362977
2020-03-14,,,,,,,,,2236,1054,3806,12641,6177,20397,13198,6465,21195,2.14802561983,1.25572003146,2.88736208092
2020-03-15,,,,,,,,,2533,1108,4495,14989,7190,24625,15731,7574,25689,2.00672582407,1.09605233947,2.80481888386
2020-03-16,,,,,,,,,2855,1138,5176,17659,8232,29535,18586,8712,30865,1.85803885366,0.970033679357,2.70751100203
2020-03-17,,,,,,,,,3113,1114,5746,20586,9251,35015,21699,9827,36611,1.70622412619,0.875177310227,2.59285654561
2020-03-18,,,,,,,,,3296,1076,6179,23697,10231,40927,24995,10903,42789,1.55554729846,0.812652885816,2.42692600512
2020-03-19,,,,,,,,,3425,1046,6730,26936,11182,47390,28420,11950,49518,1.4102681687,0.758730867765,2.26997250224
2020-03-20,,,,,,,,,3502,1015,7121,30253,12101,54245,31922,12965,56639,1.27452796585,0.716186496597,2.10454172721
2020-03-21,1,1,,,,,,,3527,994,7288,33090,12744,60487,35450,13960,63927,1.15207637057,0.692671407239,1.91890311716
