date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-16,,,,,,,,
2020-02-17,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,1,1,,,,,,
2020-03-12,0,1,,,,,,
2020-03-13,0,1,,,,,,
2020-03-14,1,2,,,,,,
2020-03-15,0,2,,,,,,
2020-03-16,0,2,,,,,,
2020-03-17,0,2,,,,,,
2020-03-18,0,2,,,,,,
2020-03-19,1,3,,,,,,
2020-03-20,0,3,,,,,,
2020-03-21,0,3,,,,,,
2020-03-22,1,4,,,,,,
2020-03-23,2,6,,,,,,
2020-03-24,1,7,,,,,,
2020-03-25,2,9,,,,,,
2020-03-26,10,19,,,,,,
2020-03-27,3,22,,,,,,
2020-03-28,14,36,,,,,,
2020-03-29,10,46,,,,,,
2020-03-30,8,54,,,,,,
2020-03-31,17,71,,,,,,
2020-04-01,14,85,,,,,,
2020-04-02,13,98,,,,,,
2020-04-03,22,120,,,,,,
2020-04-04,17,137,,,,,,
2020-04-05,21,158,,,,,,
2020-04-06,16,174,,,,,,
2020-04-07,36,210,,,,,,
2020-04-08,25,235,,,,,,
2020-04-09,28,263,,,,,,
2020-04-10,24,287,,,,,,
2020-04-11,33,320,,,,,,
2020-04-12,14,334,,,,,,
2020-04-13,31,365,,,,,,
2020-04-14,,,34,23,43,399,388,408
2020-04-15,,,35,23,46,434,411,454
2020-04-16,,,36,22,50,471,433,504
