date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-01-31,0,0,,,,,,
2020-02-01,0,0,,,,,,
2020-02-02,0,0,,,,,,
2020-02-03,0,0,,,,,,
2020-02-04,0,0,,,,,,
2020-02-05,0,0,,,,,,
2020-02-06,0,0,,,,,,
2020-02-07,0,0,,,,,,
2020-02-08,0,0,,,,,,
2020-02-09,0,0,,,,,,
2020-02-10,0,0,,,,,,
2020-02-11,0,0,,,,,,
2020-02-12,0,0,,,,,,
2020-02-13,0,0,,,,,,
2020-02-14,0,0,,,,,,
2020-02-15,0,0,,,,,,
2020-02-16,0,0,,,,,,
2020-02-17,0,0,,,,,,
2020-02-18,0,0,,,,,,
2020-02-19,0,0,,,,,,
2020-02-20,0,0,,,,,,
2020-02-21,0,0,,,,,,
2020-02-22,0,0,,,,,,
2020-02-23,0,0,,,,,,
2020-02-24,0,0,,,,,,
2020-02-25,0,0,,,,,,
2020-02-26,0,0,,,,,,
2020-02-27,0,0,,,,,,
2020-02-28,0,0,,,,,,
2020-02-29,0,0,,,,,,
2020-03-01,0,0,,,,,,
2020-03-02,0,0,,,,,,
2020-03-03,0,0,,,,,,
2020-03-04,10,10,,,,,,
2020-03-05,1,11,,,,,,
2020-03-06,3,14,,,,,,
2020-03-07,2,16,,,,,,
2020-03-08,2,18,,,,,,
2020-03-09,4,22,,,,,,
2020-03-10,2,24,,,,,,
2020-03-11,3,27,,,,,,
2020-03-12,9,36,,,,,,
2020-03-13,3,39,,,,,,
2020-03-14,10,49,,,,,,
2020-03-15,11,60,,,,,,
2020-03-16,11,71,,,,,,
2020-03-17,19,90,,,,,,
2020-03-18,22,112,,,,,,
2020-03-19,48,160,,,,,,
2020-03-20,59,219,,,,,,
2020-03-21,53,272,,,,,,
2020-03-22,126,398,,,,,,
2020-03-23,73,471,,,,,,
2020-03-24,203,674,,,,,,
2020-03-25,225,899,,,,,,
2020-03-26,264,1163,,,,,,
2020-03-27,367,1530,,,,,,
2020-03-28,435,1965,,,,,,
2020-03-29,463,2428,,,,,,
2020-03-30,511,2939,,,,,,
2020-03-31,807,3746,,,,,,
2020-04-01,954,4700,,,,,,
2020-04-02,1084,5784,,,,,,
2020-04-03,1178,6962,,,,,,
2020-04-04,1351,8313,,,,,,
2020-04-05,1185,9498,,,,,,
2020-04-06,1180,10678,,,,,,
2020-04-07,1943,12621,,,,,,
2020-04-08,,,1636,1186,2120,14257,13807,14741
2020-04-09,,,1640,1118,2250,15897,14923,16991
2020-04-10,,,1611,1038,2333,17512,15961,19325
2020-04-11,,,1555,928,2412,19055,16887,21738
2020-04-12,,,1478,819,2426,20531,17705,24166
2020-04-13,,,1396,718,2421,21924,18424,26590
2020-04-14,,,1305,626,2372,23231,19048,28966
2020-04-15,,,1220,545,2300,24442,19591,31269
2020-04-16,,,1135,463,2220,25585,20052,33492
2020-04-17,,,1058,397,2148,26639,20447,35640
2020-04-18,,,984,338,2072,27622,20781,37718
2020-04-19,,,914,287,2008,28535,21066,39730
2020-04-20,,,848,245,1950,29384,21308,41681
2020-04-21,,,789,204,1887,30168,21513,43571
2020-04-22,,,729,172,1816,30901,21683,45391
2020-04-23,,,675,150,1747,31578,21831,47140
2020-04-24,,,629,131,1670,32208,21960,48815
2020-04-25,,,587,109,1603,32798,22068,50417
2020-04-26,,,543,95,1538,33340,22161,51963
2020-04-27,,,509,87,1477,33845,22248,53444
2020-04-28,,,470,73,1417,34322,22318,54860
2020-04-29,,,439,68,1351,34763,22387,56212
2020-04-30,,,410,58,1287,35176,22442,57509
2020-05-01,,,381,51,1228,35554,22496,58739
2020-05-02,,,358,46,1165,35912,22539,59905
2020-05-03,,,333,42,1101,36244,22584,61009
2020-05-04,,,309,38,1042,36558,22619,62060
2020-05-05,,,288,33,987,36847,22653,63049
2020-05-06,,,269,29,933,37115,22681,63988
2020-05-07,,,252,26,882,37367,22707,64868
2020-05-08,,,235,26,832,37609,22733,65705
2020-05-09,,,221,24,787,37832,22756,66491
2020-05-10,,,206,22,741,38043,22778,67234
2020-05-11,,,193,21,696,38237,22799,67932
2020-05-12,,,182,20,656,38417,22818,68591
2020-05-13,,,168,19,620,38594,22837,69214
2020-05-14,,,160,18,585,38762,22855,69801
2020-05-15,,,151,18,553,38912,22873,70355
2020-05-16,,,143,18,518,39060,22891,70873
2020-05-17,,,136,16,488,39199,22907,71362
2020-05-18,,,129,15,460,39328,22922,71828
2020-05-19,,,122,14,434,39453,22936,72264
2020-05-20,,,115,14,410,39571,22949,72679
2020-05-21,,,110,13,391,39682,22962,73068
2020-05-22,,,105,12,371,39785,22974,73444
2020-05-23,,,103,12,351,39888,22986,73798
2020-05-24,,,95,12,332,39981,22998,74133
2020-05-25,,,90,11,317,40075,23009,74448
2020-05-26,,,86,11,300,40160,23020,74753
2020-05-27,,,82,10,282,40246,23029,75037
2020-05-28,,,71,10,269,40326,23039,75311
2020-05-29,,,71,10,255,40402,23048,75567
2020-05-30,,,71,9,242,40470,23056,75810
2020-05-31,,,66,9,231,40539,23064,76039
2020-06-01,,,66,9,218,40602,23073,76265
2020-06-02,,,61,9,206,40667,23082,76470
2020-06-03,,,58,9,194,40726,23090,76666
2020-06-04,,,55,9,186,40782,23099,76854
2020-06-05,,,54,7,178,40839,23106,77033
2020-06-06,,,53,7,170,40892,23113,77203
2020-06-07,,,50,7,164,40945,23120,77368
2020-06-08,,,48,7,158,40994,23127,77529
2020-06-09,,,47,7,152,41040,23134,77678
2020-06-10,,,46,7,139,41087,23141,77820
2020-06-11,,,43,7,135,41130,23148,77955
2020-06-12,,,39,7,130,41169,23155,78088
2020-06-13,,,35,7,126,41210,23162,78212
2020-06-14,,,34,7,121,41249,23169,78336
2020-06-15,,,34,7,119,41285,23176,78453
2020-06-16,,,34,7,114,41320,23183,78570
2020-06-17,,,34,7,111,41355,23190,78680
2020-06-18,,,34,6,106,41389,23196,78787
2020-06-19,,,32,6,101,41420,23202,78888
2020-06-20,,,29,5,98,41449,23207,78985
2020-06-21,,,28,4,92,41481,23211,79079
2020-06-22,,,25,4,88,41506,23215,79167
2020-06-23,,,25,4,88,41537,23219,79255
2020-06-24,,,25,3,84,41562,23222,79340
2020-06-25,,,25,3,80,41588,23224,79421
2020-06-26,,,21,2,77,41610,23226,79500
2020-06-27,,,20,2,74,41631,23227,79572
2020-06-28,,,19,2,68,41654,23229,79643
2020-06-29,,,18,2,66,41672,23230,79707
2020-06-30,,,17,2,61,41689,23232,79771
