date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-14,,,,,,,,,202,119,295,1468,824,2024,1468,824,2024,1.37464711988,0.999883332925,1.79459295671
2020-03-15,,,,,,,,,240,140,361,1708,964,2384,1708,964,2384,1.36786457469,0.999866888177,1.79172069769
2020-03-16,,,,,,,,,269,151,406,1909,1079,2701,1977,1116,2790,1.35880043027,0.999848967854,1.78732746714
2020-03-17,,,,,,,,,290,161,447,2132,1203,3058,2267,1277,3236,1.34702450621,0.999828753908,1.78063501192
2020-03-18,,,,,,,,,314,171,494,2379,1337,3462,2581,1448,3729,1.3322602906,0.999806893255,1.77051555565
2020-03-19,,,,,,,,,340,181,548,2651,1481,3921,2920,1630,4277,1.31448966881,0.999783866819,1.75538729748
2020-03-20,,,,,,,,,371,199,612,2954,1643,4444,3291,1829,4889,1.29399594476,0.999759671629,1.73316159006
2020-03-21,,,,,,,,,400,211,658,3286,1818,5012,3691,2040,5546,1.27131169402,0.999734273539,1.7056991979
2020-03-22,,,,,,,,,426,221,707,3645,2002,5629,4117,2261,6252,1.24710201255,0.999707389055,1.67342265372
2020-03-23,,,,,,,,,450,230,760,4027,2195,6299,4566,2491,7011,1.22205079765,0.999679044846,1.63505643824
2020-03-24,,,,,,,,,473,239,788,4433,2397,6998,5039,2730,7799,1.19678997189,0.999643635094,1.58691816703
2020-03-25,1,1,,,,,,,496,248,846,4769,2557,7620,5536,2979,8644,1.17188334232,0.999607844728,1.53462509258
2020-03-26,0,1,,,,,,,518,258,899,5128,2727,8297,6053,3237,9543,1.14785282187,0.99956374531,1.47620298866
2020-03-27,2,3,,,,,,,537,269,947,5501,2903,9012,6591,3506,10490,1.12521620959,0.994814037366,1.41002281937
2020-03-28,1,4,,,,,,,555,279,995,5879,3081,9755,7146,3786,11484,1.10449439447,0.992416252443,1.35098795845
2020-03-29,0,4,,,,,,,571,290,1032,6248,3252,10492,7716,4077,12515,1.08616131547,0.980911158708,1.29913841459
2020-03-30,0,4,,,,,,,586,301,1055,6594,3413,11186,8302,4378,13569,1.07055272559,0.972330570335,1.24585765179
2020-03-31,3,7,,,,,,,600,312,1064,6925,3574,11844,8902,4690,14633,1.05778359325,0.964787979626,1.18274704249
2020-04-01,3,10,,,,,,,613,323,1069,7248,3737,12466,9515,5014,15702,1.04772478553,0.958339328677,1.14927681626
2020-04-02,3,13,,,,,,,626,336,1076,7560,3902,13049,10141,5350,16777,1.04005474452,0.955291801422,1.11366520365
2020-04-03,0,13,,,,,,,638,344,1083,7858,4065,13584,10779,5695,17860,1.03435412954,0.95296994597,1.08674183477
2020-04-04,1,14,,,,,,,650,352,1085,8138,4219,14057,11429,6048,18945,1.03019499552,0.951231836749,1.07455994083
2020-04-05,0,14,,,,,,,662,362,1084,8400,4369,14483,12091,6410,20029,1.02719710695,0.950255755714,1.06674430632
2020-04-06,0,14,,,,,,,673,371,1096,8647,4520,14873,12764,6782,21124,1.02505067816,0.949809889522,1.06112586873
2020-04-07,1,15,,,,,,,685,381,1113,8883,4672,15226,13449,7163,22237,1.02351708568,0.949559179527,1.05788202772
2020-04-08,2,17,,,,,,,696,390,1118,9106,4823,15555,14145,7554,23354,1.02241913841,0.949346611167,1.05481482838
2020-04-09,0,17,,,,,,,707,400,1123,9317,4975,15833,14853,7954,24477,1.02162837748,0.949069939451,1.05292651984
2020-04-10,0,17,,,,,,,718,409,1135,9517,5126,16068,15571,8364,25611,1.02105310861,0.948917666433,1.05174283013
2020-04-11,1,18,,,,,,,729,419,1155,9709,5276,16277,16300,8783,26766,1.02062852288,0.948695768913,1.0508728836
2020-04-12,1,19,,,,,,,740,432,1171,9894,5429,16453,17040,9215,27937,1.02030909113,0.948515986175,1.05021815558
2020-04-13,0,19,,,,,,,751,436,1184,10074,5574,16605,17791,9651,29120,1.02006294101,0.948303832433,1.0495735858
2020-04-14,0,19,,,,,,,761,441,1181,10250,5714,16732,18552,10093,30301,1.01986779991,0.948060293511,1.04924107816
2020-04-15,3,22,,,,,,,772,451,1187,10422,5853,16855,19324,10544,31488,1.01970811184,0.947875448708,1.04919337496
2020-04-16,3,25,,,,,,,782,461,1195,10592,5990,16980,20106,11005,32682,1.01957300814,0.947746731197,1.0490614396
2020-04-17,3,28,,,,,,,793,468,1201,10758,6122,17106,20899,11473,33882,1.01945896781,0.947634099037,1.04897363568
2020-04-18,4,32,,,,,,,803,474,1200,10923,6253,17222,21702,11948,35082,1.01936017279,0.947531752999,1.04895999842
2020-04-19,0,32,,,,,,,813,480,1200,11086,6380,17337,22515,12428,36281,1.01927635927,0.947424856983,1.0489472931
2020-04-20,1,33,,,,,,,823,486,1218,11248,6504,17471,23338,12915,37499,1.01920405774,0.947328052505,1.04897202347
2020-04-21,0,33,,,,,,,833,493,1235,11407,6626,17610,24172,13408,38734,1.0191426895,0.947228098221,1.04897056531
2020-04-22,1,34,,,,,,,843,496,1254,11566,6741,17751,25015,13905,39987,1.01911116435,0.947142718262,1.04901875753
2020-04-23,2,36,,,,,,,853,498,1272,11723,6849,17905,25868,14403,41259,1.01907366971,0.947081260033,1.04908860302
2020-04-24,0,36,,,,,,,863,506,1290,11878,6955,18072,26731,14910,42548,1.01905529951,0.947062673388,1.04920700997
2020-04-25,2,38,,,,,,,873,510,1309,12033,7056,18246,27604,15420,43857,1.01904789667,0.947064436488,1.04937462932
2020-04-26,1,39,,,,,,,882,520,1323,12186,7157,18414,28486,15940,45179,1.01906309634,0.947060228851,1.04960546771
2020-04-27,0,39,,,,,,,892,527,1336,12338,7252,18579,29378,16467,46515,1.01910749619,0.947108794701,1.04991731382
2020-04-28,3,42,,,,,,,902,533,1349,12489,7349,18744,30280,17001,47864,1.01918679361,0.947196650818,1.05033268901
2020-04-29,2,44,,,,,,,911,540,1368,12639,7448,18931,31191,17542,49231,1.01931392173,0.947306029745,1.0508799933
2020-04-30,1,45,,,,,,,921,546,1386,12787,7544,19129,32111,18088,50616,1.01950336574,0.947334224612,1.05159485844
